"race","x","name","value"
"all","[0,5)","lx",1e+05
"all","[0,5)","dx",622.649806022644
"all","[0,5)","Lx",497176.765625
"all","[0,5)","pr_lost_none",0.996100690845985
"all","[0,5)","pr_lost_mom",0.00205003330226747
"all","[0,5)","pr_lost_dad",0.0018492758517482
"all","[0,5)","pr_lost_both",0
"all","[0,5)","mx_lost_none_to_lost_mom",0
"all","[0,5)","mx_lost_none_to_lost_dad",0.000356447236815304
"all","[0,5)","mx_lost_none_to_lost_both",0
"all","[0,5)","mx_lost_dad_to_lost_both",0
"all","[0,5)","mx_lost_mom_to_lost_both",0
"all","[0,5)","Lx_lost_mom",1019.22892664488
"all","[0,5)","Lx_lost_dad",919.416986720588
"all","[0,5)","Lx_lost_both",0
"all","[0,5)","Lx_lost_none",495238.119711635
"all","[0,5)","dx_lost_mom_to_dead",1.2764528379968
"all","[0,5)","dx_lost_dad_to_dead",1.15145125037338
"all","[0,5)","dx_lost_both_to_dead",0
"all","[0,5)","dx_lost_none_to_dead",620.221901934274
"all","[0,5)","dx_lost_none_to_lost_mom",0
"all","[0,5)","dx_lost_none_to_lost_dad",176.305182953662
"all","[0,5)","dx_lost_none_to_lost_both",0
"all","[0,5)","dx_lost_mom_to_lost_both",0
"all","[0,5)","dx_lost_dad_to_lost_both",0
"all","[0,5)","ex_lost_none",46.2405073926711
"all","[0,5)","ex_lost_mom",3.08389252711558
"all","[0,5)","ex_lost_dad",8.83712058648697
"all","[0,5)","ex_lost_both",18.8334390396249
"all","[0,5)","ex",76.9949595458984
"all","[0,5)","lx_lost_mom",0
"all","[0,5)","lx_lost_dad",0
"all","[0,5)","lx_lost_both",0
"all","[0,5)","lx_lost_none",1e+05
"all","[5,10)","lx",99377.34375
"all","[5,10)","dx",54.2464866638184
"all","[5,10)","Lx",496742.390625
"all","[5,10)","pr_lost_none",0.988245484369435
"all","[5,10)","pr_lost_mom",0.00499759853728936
"all","[5,10)","pr_lost_dad",0.00559072420004682
"all","[5,10)","pr_lost_both",0.0011661928932292
"all","[5,10)","mx_lost_none_to_lost_mom",0
"all","[5,10)","mx_lost_none_to_lost_dad",0.000473483285149614
"all","[5,10)","mx_lost_none_to_lost_both",0
"all","[5,10)","mx_lost_dad_to_lost_both",0.0452725647214652
"all","[5,10)","mx_lost_mom_to_lost_both",0
