"sex","race","x","name","value"
"all","all","[0,1)","lx",1e+05
"all","all","[0,1)","dx",539.411193847656
"all","all","[0,1)","Lx",99530.171875
"all","all","[0,1)","pr_lost_none",1
"all","all","[0,1)","pr_lost_mom",0
"all","all","[0,1)","pr_lost_dad",0
"all","all","[0,1)","pr_lost_both",0
"all","all","[0,1)","mx_lost_none_to_lost_mom",0
"all","all","[0,1)","mx_lost_none_to_lost_dad",0
"all","all","[0,1)","mx_lost_none_to_lost_both",0
"all","all","[0,1)","mx_lost_dad_to_lost_both",NA
"all","all","[0,1)","mx_lost_mom_to_lost_both",NA
"all","all","[0,1)","Lx_lost_mom",0
"all","all","[0,1)","Lx_lost_dad",0
"all","all","[0,1)","Lx_lost_both",0
"all","all","[0,1)","Lx_lost_none",99530.171875
"all","all","[0,1)","dx_lost_mom_to_dead",0
"all","all","[0,1)","dx_lost_dad_to_dead",0
"all","all","[0,1)","dx_lost_both_to_dead",0
"all","all","[0,1)","dx_lost_none_to_dead",539.411193847656
"all","all","[0,1)","dx_lost_none_to_lost_mom",0
"all","all","[0,1)","dx_lost_none_to_lost_dad",0
"all","all","[0,1)","dx_lost_none_to_lost_both",0
"all","all","[0,1)","dx_lost_mom_to_lost_both",NA
"all","all","[0,1)","dx_lost_dad_to_lost_both",NA
"all","all","[0,1)","ex_lost_none",46.246582517395
"all","all","[0,1)","ex_lost_mom",3.08038158735164
"all","all","[0,1)","ex_lost_dad",8.8349875092589
"all","all","[0,1)","ex_lost_both",18.8330079318929
"all","all","[0,1)","ex",76.9949595458984
"all","all","[0,1)","lx_lost_mom",0
"all","all","[0,1)","lx_lost_dad",0
"all","all","[0,1)","lx_lost_both",0
"all","all","[0,1)","lx_lost_none",1e+05
"all","all","[1,2)","lx",99460.5859375
"all","all","[1,2)","dx",31.6455631256104
"all","all","[1,2)","Lx",99444.765625
"all","all","[1,2)","pr_lost_none",0.994305412176266
"all","all","[1,2)","pr_lost_mom",0.00382965042414857
"all","all","[1,2)","pr_lost_dad",0.00186493739958517
"all","all","[1,2)","pr_lost_both",0
"all","all","[1,2)","mx_lost_none_to_lost_mom",0
"all","all","[1,2)","mx_lost_none_to_lost_dad",0
"all","all","[1,2)","mx_lost_none_to_lost_both",0
"all","all","[1,2)","mx_lost_dad_to_lost_both",0
"all","all","[1,2)","mx_lost_mom_to_lost_both",0
"all","all","[1,2)","Lx_lost_mom",380.838688855136
"all","all","[1,2)","Lx_lost_dad",185.458262607044
"all","all","[1,2)","Lx_lost_both",0
"all","all","[1,2)","Lx_lost_none",98878.4686735378
"all","all","[1,2)","dx_lost_mom_to_dead",0.121191444246414
"all","all","[1,2)","dx_lost_dad_to_dead",0.0590169942038841
"all","all","[1,2)","dx_lost_both_to_dead",0
"all","all","[1,2)","dx_lost_none_to_dead",31.4653546871601
"all","all","[1,2)","dx_lost_none_to_lost_mom",0
"all","all","[1,2)","dx_lost_none_to_lost_dad",0
"all","all","[1,2)","dx_lost_none_to_lost_both",0
"all","all","[1,2)","dx_lost_mom_to_lost_both",0
"all","all","[1,2)","dx_lost_dad_to_lost_both",0
"all","all","[1,2)","ex_lost_none",45.4966963768748
"all","all","[1,2)","ex_lost_mom",3.09708771400897
"all","all","[1,2)","ex_lost_dad",8.88290313794321
"all","all","[1,2)","ex_lost_both",18.9351467763596
"all","all","[1,2)","ex",76.4118340051866
"all","all","[1,2)","lx_lost_mom",0
"all","all","[1,2)","lx_lost_dad",0
