"sex","race","x","lx","dx","Lx","pr_lost_none","pr_lost_mom","pr_lost_dad","pr_lost_both","mx_lost_none_to_lost_mom","mx_lost_none_to_lost_dad","mx_lost_none_to_lost_both","mx_lost_dad_to_lost_both","mx_lost_mom_to_lost_both","Lx_lost_mom","Lx_lost_dad","Lx_lost_both","Lx_lost_none","dx_lost_mom_to_dead","dx_lost_dad_to_dead","dx_lost_both_to_dead","dx_lost_none_to_dead","dx_lost_none_to_lost_mom","dx_lost_none_to_lost_dad","dx_lost_none_to_lost_both","dx_lost_mom_to_lost_both","dx_lost_dad_to_lost_both","ex_lost_none","ex_lost_mom","ex_lost_dad","ex_lost_both","ex","lx_lost_mom","lx_lost_dad","lx_lost_both","lx_lost_none"
"all","all","[0,5)",1e+05,622.649806022644,497176.765625,0.995745633507072,0.00205003330231408,0.00220433319061398,0,0.00205003330231408,0.00220433319061398,0,0,0,1019.22892666805,1095.9432460693,0,495061.593452263,1.27645283802582,1.37252763354507,0,620.000825551073,1013.62173093397,1089.9140134471,0,0,0,45.7085762558163,3.066411713068,8.81674715430867,19.4032244227055,76.9949595458984,0,0,0,1e+05
"all","all","[5,10)",99377.34375,54.2464866638184,496742.390625,0.98777756665095,0.00499759853725448,0.00580553549537462,0.00141929931642083,0.00499759853725448,0.00580553549537462,0.00141929931642083,0.196447303418432,0.221181534876376,2482.51904477979,2883.85558083068,705.026135451311,490670.989863938,0.271102162402293,0.314929903826163,0.076992001440189,53.5834625961497,2451.90883258293,2848.29676751163,696.332949529585,549.027409891842,566.46378517201,41.0133323988081,3.07536839733787,8.86096104963358,19.5247967902196,72.4744586359992,1012.34527809594,1088.54148581355,0,97276.4634300679
"all","all","[10,15)",99323.09375,81.4530305862427,496460.4609375,0.972559936448622,0.00675579789220827,0.0200586134602704,0.000625652198899482,0.00675579789220827,0.0200586134602704,0.000625652198899482,0.0302477356077716,0.0847600662711504,3353.98653556631,9958.30848425301,310.611579052197,482837.554338629,0.550280212348515,1.63383485569703,0.0509612676933096,79.2179542505039,3261.41775139155,9683.46286425746,302.038814695942,284.23747923988,301.166862327572,36.0955836845893,3.05205377611742,8.83676578594257,19.5283628701416,67.5127661167909,2914.95559862463,3370.05953824934,1811.747152592,91226.3414178476
"all","all","[15,20)",99241.6328125,289.950328826904,495584.84375,0.955324897066262,0.012057381661079,0.031221458776539,0.00139626249612002,0.012057381661079,0.031221458776539,0.00139626249612002,0.0428068682189152,0.103783218866606,5975.45560653993,15472.8817694181,691.966530973626,473444.539843068,3.49604177742133,9.05267223871312,0.404846769878674,276.996768040891,5705.16165649063,14772.9809405132,660.666094776916,619.789186572271,661.958094322786,31.2599400071142,3.02076284220534,8.74367524523859,19.5412625689062,62.5656406634643,5891.58559056396,12750.7217053235,2699.1393475877,77900.2040332521
"all","all","[20,25)",98951.671875,536.829673767091,493497.6640625,0.938864599074858,0.015597986175722,0.043205332236899,0.00233208251252081,0.015597986175722,0.043205332236899,0.00233208251252081,0.0512124486063522,0.130065453349323,7697.56974179798,21321.7305339539,1150.87727233002,463327.486514418,8.37346183013644,23.1939044097333,1.25193109439448,504.010376432827,7219.1141825999,19996.4420535782,1079.34253508549,1000.09880004595,1090.75021253104,26.5669381655785,2.96922705423714,8.61292902081444,19.591531919481,57.740626160111,10973.4620187049,26852.6918792752,4641.14787648979,56484.3985734305
"all","all","[25,30)",98414.84375,689.753570556641,490410.8828125,0.897833645923217,0.0320670878669562,0.0665042586458762,0.00359500756395058,0.0320670878669562,0.0665042586458762,0.00359500756395058,0.0512845249077175,0.100807524642395,15726.04887006,32614.412193315,1763.03083315462,440307.39091597,22.1183883535866,45.8715498582155,2.47966930341304,619.283963041426,14099.5171597152,29241.1315883133,1580.68207027489,1583.07435901708,1670.26213383737,22.0039516302063,2.90720790227793,8.44325880277935,19.6867046364918,53.0411229717554,17184.1039394287,45735.1898159126,7810.08749305787,27685.4894257341
"all","all","[30,35)",97725.09375,869.405639648438,486525.5390625,0.843459611772667,0.045835125293798,0.0942000204122596,0.0165052425212758,0.045835125293798,0.0942000204122596,0.0165052425212758,0.149091760264235,0.264760108092991,22299.9590415623,45830.7157107731,8030.22201502098,410364.642295144,39.8493164244208,81.8980290014164,14.3497509317623,733.308543290839,18775.5035067818,38587.2800009257,6761.06450788798,5893.58905698935,6820.7717581829,17.6536855013592,2.76680586537056,8.16911555659702,19.8076139468486,48.3972208701754,29678.4283517732,73260.1877205303,12641.6263868838,-17855.1253556107
"all","all","[35,40)",96855.6875,1062.03187561035,481705.484375,0.784968938925108,0.0567012262587531,0.134418029027323,0.0239118057888166,0.0567012262587531,0.134418029027323,0.0239118057888166,0.151025268336724,0.296624567783361,27313.2916596292,64749.9017813392,11518.4479897828,378123.842944249,60.2185096729905,142.756231483734,25.3950999511273,833.6620345025,21392.8159129694,50714.6024892501,9021.68953194132,8083.93104387406,9757.31149313669,13.5752836234651,2.56140253549721,7.76925844351942,19.9025040001349,43.8084486026166,42520.4934851412,104944.797934272,32102.7019590123,-82712.2819144969
"all","all","[40,45)",95793.65625,1322.72906494141,475798.9765625,0.706167295363491,0.0651988577482369,0.183807593300899,0.0448262535873724,0.0651988577482369,0.183807593300899,0.0448262535873724,0.196061318993062,0.407418388795254,31021.5497896551,87455.4647769842,21328.2855800029,335993.676415858,86.2404241445731,243.127646016029,59.2929884924514,934.068006288352,21845.5037458755,61586.5002341047,15019.4669734531,12603.6138985791,17098.9658503652,9.77851375637364,2.3046736132926,7.1794625349308,20.0029139185799,39.2655638231769,55769.1598445636,145759.332698901,58940.2389280132,-164675.05188316
"all","all","[45,50)",94470.9296875,1790.44799804688,468118.96875,0.562463839109283,0.0938813147043246,0.240449505301408,0.103205340884985,0.0938813147043246,0.240449505301408,0.103205340884985,0.300316849973965,0.52365463595894,43947.6242242827,112558.974458143,48312.3777445713,263299.992323003,168.089611966367,430.512335398268,184.783795975267,1007.06225470697,24624.4051124611,63068.2052789787,27070.03125942,22925.3562598643,33674.0665371277,6.35884404848384,2.00857091931052,6.3542457276501,20.057217395898,34.7788780913424,64924.8092677155,190003.739436625,103602.992661918,-264060.590842882
