"","Age","lx_lost_none","Lx_lost_none","dx_lost_none_to_lost_dad","dx_lost_none_to_lost_mom","dx_lost_none_to_lost_both","dx_lost_none_to_dead","ex_lost_none","lx_lost_dad","Lx_lost_dad","dx_lost_dad_to_lost_both","dx_lost_dad_to_dead","ex_lost_dad","lx_lost_mom","Lx_lost_mom","dx_lost_mom_to_lost_both","dx_lost_mom_to_dead","ex_lost_mom","lx_lost_both","Lx_lost_both","dx_lost_both_to_dead","ex_lost_both"
"1","[0,5)",1e+05,494379.623938181,1227.95027234887,536.076318641105,37.7471995895649,489.094841733406,42.676857411817,0,2200.14295957652,0,2.1766240364702,12.0820810613134,0,1053.18151986852,33.1276382478699,1.0419232990902,4.36992231139192,0,127.621894873701,0.126257651918873,22.2109873258293
"2","[5,10)",97709.131367687,483902.385819116,1510.4769661718,512.380289709657,0,41.0038810848213,37.9197954275276,1225.7736483124,9748.80733186306,0,0.826073498021501,12.1197628356881,501.906757094145,3491.51180710538,0,0.295856228736005,4.380964349776,70.7485801855159,286.935666916613,0.0243137382869624,22.31962304433
"3","[10,15)",95645.2702307208,471928.748619098,1500.93010435552,561.058552649585,47.8049013579399,59.5767628318466,33.0708371098241,2735.42454098618,18049.71312135,15.8880987721635,2.278614051295,12.0268884314745,1013.99119057507,6613.42125352663,64.5309953508269,0.834884992027599,4.34771868983667,70.7242664472289,602.288881026034,0.0760335578752962,22.3261997069258
"4","[15,20)",93475.8999095259,456644.512703256,2245.23615422862,820.134730044858,57.8560903871636,141.019229759109,28.344067989827,4218.18793251824,28687.3049634522,87.2350272382597,8.8591049213802,11.8528997611258,1509.6838628818,9608.32433913726,171.101858885603,2.96720634955124,4.28393196950757,198.872228370284,1727.91268165441,0.533607453236267,22.3342362603995
"5","[20,25)",90211.6537051061,434782.249915138,2679.85404178924,1138.20198282745,93.6608571877827,205.883283827024,23.7868847381925,6367.32995458722,42235.3001237975,129.617270354931,19.9997637543956,11.5821745530077,2155.7495276915,15001.8026028059,220.845289901896,7.10383274338666,4.1937424435908,514.531597428074,3665.80360825902,1.73587510732241,22.3513424379374
"6","[25,30)",86094.0535394746,404290.627764695,3290.35893109845,1950.08415939058,0,236.223866080389,19.4521773306573,8897.56696226713,59778.2823955857,517.567228953239,34.9279849824994,11.1830740766275,3066.00238787367,23079.315184429,326.998271547215,13.4850641715265,4.0521727927359,956.91913976536,7231.81371779102,4.22549244991171,22.3673044945128
"7","[30,35)",80617.3865829052,365409.329785987,4136.415594105,2371.06961250489,87.6313848252542,291.170695571187,15.4140020922912,11635.4306794298,79617.6131535504,763.945448159432,63.4420468005411,10.6102963721021,4675.60321154551,31499.4066989622,951.850901382774,25.0998083819814,3.83025708687994,1797.2591478159,16159.3300490015,12.8763088043971,22.3594986885572
"8","[35,40)",73731.0992958989,323717.948911257,5768.81985573909,2130.13586235579,176.396491159533,317.963072542382,11.7595053115029,14944.4587785749,101145.970915134,1732.61260446597,99.3478544999519,9.84298506093865,6069.72211428564,38179.2168987132,1480.70455658414,37.5004881663352,3.52521554174732,3587.81057337897,27462.4101498964,26.9741988050033,22.2844361425868
"9","[40,45)",65337.7840141021,270873.832779919,5068.20288161235,3184.99799452583,126.978246146489,366.625421584606,8.50913995821915,18881.318175348,118399.681568457,2052.72340975496,160.252958822299,8.85777775102607,6681.65293189096,43847.2256083737,2377.87547827206,59.3468457584327,3.15239639446772,6950.55002678361,54598.6428557503,73.8987972721622,22.1135013821986
"10","[45,50)",56590.9794702328,215487.678068071,5870.25437556663,2601.21486301967,61.1005387615672,471.944348513048,5.77991262074236,21736.5446883831,135601.568514235,2903.80216332426,296.984006155479,7.69972493552235,7429.4286023863,50624.7822393847,2151.34888112101,110.874459675759,2.72266318145236,11434.228363685,81781.7289908104,179.111980577591,21.7019296340052
"11","[50,55)",47586.4653443719,153621.974214887,7735.64380623974,3187.21459003229,885.249243684604,520.515164653171,3.60200426741622,24406.01289447,141559.365326794,6502.75895223707,479.643597394506,6.3739657741053,7768.4201246092,53485.5116698101,3888.9717369358,181.224203475133,2.22603783429562,16371.3679663142,128224.422226009,434.460998100238,21.0902592971588
"12","[55,60)",35257.8425397621,91418.0414381589,4718.4392793875,2265.57294910787,469.174530238623,476.275854050775,2.03823658196534,25159.2541510782,147827.652766595,7488.70808192269,770.162436933844,4.9852115263176,6885.43877423056,46848.9843059385,3833.12774365926,244.076985906728,1.69820786835701,27213.8869010714,180826.165239307,942.08030416334,20.0941781775522
"13","[60,65)",27328.3799269773,47599.0822307801,3684.74095473836,2415.69622360458,683.808341661057,394.05906546309,1.09931114612387,21618.8229116091,110534.314221775,10230.3861887329,915.081689026136,3.5115468388005,5073.80699377244,44154.3433896024,4713.2963203742,365.541066692915,1.2343050857295,38062.8169527287,249315.666407843,2064.0124537202,18.6612953199296
"14","65+",20150.0753415102,53629.7049931552,4585.62951403153,2793.73792505135,1241.15347960502,2624.82278536886,0.607047593266029,14158.0959885884,212822.388769177,21835.1809302512,10416.2619456748,2.40898805824021,2410.66583030992,69505.2036215345,12532.8375474967,3401.82445886643,0.786746199392724,51626.2953497767,1469087.99021379,71902.2346089181,16.6289620438735
