"","Age","lx_lost_none","Lx_lost_none","dx_lost_none_to_lost_dad","dx_lost_none_to_lost_mom","dx_lost_none_to_lost_both","dx_lost_none_to_dead","ex_lost_none","lx_lost_dad","Lx_lost_dad","dx_lost_dad_to_lost_both","dx_lost_dad_to_dead","ex_lost_dad","lx_lost_mom","Lx_lost_mom","dx_lost_mom_to_lost_both","dx_lost_mom_to_dead","ex_lost_mom","lx_lost_both","Lx_lost_both","dx_lost_both_to_dead","ex_lost_both"
"1","[0,5)",1e+05,494381.695055731,1134.3914175586,367.789177361402,88.5299919562838,537.004773384021,43.6564680674778,0,2315.66621332586,0,2.51531119083992,11.2587830475084,0,694.584738926194,16.5598331078101,0.754468306681567,3.99720442079398,0,152.733679516533,0.165901601489589,19.0174513270129
"2","[5,10)",97872.2846397397,485045.688302556,1338.92968972327,493.162728509025,0,43.5246775040253,38.9230086928851,1131.87610636776,8794.50082130863,12.8827253253793,0.78915826135038,11.2966787561811,350.47487594691,2738.82631729654,21.1754935639197,0.245763512746684,4.01194092004739,104.923923462604,600.711121339476,0.0539037011562366,19.1192530973675
"3","[10,15)",95996.6675440034,474382.784207496,1267.62572081834,501.026856058279,23.9803958414674,67.6810205810363,34.0614751519558,2457.1339125043,16137.2952808996,38.2620811828151,2.30233610996958,11.2132861092047,822.216347379269,5596.45631401408,32.3707144790437,0.798456199464399,3.98619202494772,138.928238650747,825.581385090918,0.117787138521491,19.1217913092832
"4","[15,20)",94136.3535507043,460837.609051377,1953.57304627569,814.70052591765,41.7201513370921,245.516544207067,29.3106326928189,3684.19521602986,25304.6568242768,75.691761490212,13.4813473853207,11.0588501615494,1290.07403275904,8258.75457064328,212.794090585597,4.3999466228734,3.93270274085965,233.423643015552,1749.85455370254,0.932255168527601,19.1271275503495
"5","[20,25)",91080.8432829668,440363.187562727,2463.33044646966,1039.73417919736,52.9813628349703,425.701300021085,24.7376481717505,5548.59515343001,37496.3431822777,151.911748927457,36.2479028437377,10.8329563687169,1887.58052146822,12512.6972400759,252.085260408462,12.0960871215235,3.85983988568314,562.697391259925,3901.63138991976,3.77172661521651,19.1604944544012
"6","[25,30)",87099.0959944437,412469.760081164,2899.72702111784,1857.20790014945,0,503.10202209317,20.3914516295278,7823.76594812848,52232.5612952405,464.667967997798,63.7096576524058,10.5051713896292,2663.1333531356,19175.173318654,249.253194777217,23.3885472445387,3.75164300850577,1015.9040368156,7673.00530494176,9.35899999963199,19.2137742841998
"7","[30,35)",81839.0590510832,375844.587641024,3430.75899812141,2019.81691297359,85.216383483684,547.515373138376,16.3074271627991,10195.1153435961,69159.0498587238,602.427716783907,100.748139615252,10.0364669200425,4247.69951126329,27948.7335882744,764.055003613275,40.7145980081126,3.57893430053593,1720.46619959098,15333.5820369786,22.3373494433364,19.2530254182495
"8","[35,40)",75755.7513833661,334888.894886313,5418.48377478883,2138.06028782871,145.250561489833,603.724831117273,12.5635578032348,12922.6984853184,88702.9927516071,1211.74427901593,159.910346793495,9.39899823782352,5462.7468226155,36016.8742171119,1166.20252975581,64.9298368388108,3.31783116947395,3149.82795402851,24738.4725199673,44.5975676478813,19.2361825050528
"9","[40,45)",67450.2319281415,280591.190211417,5440.57685901215,2721.41184698349,98.898632172479,655.893694787413,9.20402719695195,16969.5276342978,111136.001673472,2010.52221046079,259.785072747973,8.56413162328803,6369.67474384959,42286.8706488213,1840.85991578736,98.8473366179271,2.97432803044329,5628.4277566422,45412.0702787901,106.152622042976,19.1538120912553
"10","[45,50)",58533.450895186,224247.844624748,6384.65867813235,2724.58648257367,201.234887944857,759.825807956287,6.3678842515375,20139.7972101012,129177.010555177,3066.03164696369,437.69440272084,7.49863993030045,7151.37933842779,47778.0760554319,2186.03760315357,161.887911574643,2.56556880200779,9472.55589301986,71520.2875146444,242.334370424015,18.9025267729652
"11","[50,55)",48463.1450385788,160018.404676588,6853.50330468018,3334.99259001412,825.680293441234,819.312100788373,4.08337489244969,23020.729838549,139467.521590636,6360.90091216997,714.08928452397,6.2481406856991,7528.04030627324,50388.8581034794,3719.97231835407,257.996580284175,2.09949829704866,14683.525660658,113070.301566797,578.932570292157,18.4623434535268
"12","[55,60)",36629.6567496549,97855.2635895871,5679.76565998016,2507.63189396287,473.990073022315,776.495436709663,2.43717397121438,22799.2429465352,142280.362827916,6015.75903665907,1129.0149187338,4.88315585829045,6885.06399764912,46059.4148443926,3924.30356262809,365.488008843236,1.60223787833983,25011.1466143311,162079.146238104,1286.12108151409,17.7034229766844
"13","[60,65)",27191.7736859799,52721.949675424,3382.60139459414,2696.70266135448,578.188940756059,626.862231858419,1.42101812802452,21334.2346511225,115478.171004752,10154.0174328014,1373.03162065553,3.45996713993668,5102.90432014067,41571.3618808889,4860.96057496492,494.282113056898,1.14238834167458,34139.0782051265,217015.759626435,2580.31017944868,16.5742413417648
"14","65+",19907.4184574168,71997.9471816238,5703.34226029759,2113.9991454302,2312.09898089462,3824.94935748471,0.870660378187621,13189.7869922597,188196.170871224,22261.9774343691,9998.07426507708,2.27582807174846,2444.36429347334,58693.7602413879,10182.9723341669,3118.15363231576,0.70977484066467,47151.9349742002,1237671.99548506,65752.3289096732,14.9669818355083
