"","Age","lx_lost_none","Lx_lost_none","dx_lost_none_to_lost_dad","dx_lost_none_to_lost_mom","dx_lost_none_to_lost_both","dx_lost_none_to_dead","ex_lost_none","lx_lost_dad","Lx_lost_dad","dx_lost_dad_to_lost_both","dx_lost_dad_to_dead","ex_lost_dad","lx_lost_mom","Lx_lost_mom","dx_lost_mom_to_lost_both","dx_lost_mom_to_dead","ex_lost_mom","lx_lost_both","Lx_lost_both","dx_lost_both_to_dead","ex_lost_both"
"1","[0,5)",1e+05,496290.708895852,873.378345407644,395.110994165647,59.7623681611319,341.696285982596,43.9185577607361,0,1345.5118090021,53.4427816728575,0.926385240829125,11.6365827257307,0,635.832029618706,0,0.437770522669771,3.31848117024936,0,174.025390527563,0.11981652798263,27.062665135276
"2","[5,10)",98330.052006283,488053.076793254,814.674514240343,615.285758922282,0,34.4822615771094,39.089798921561,819.009178493958,6134.85420208834,0,0.433443937540121,11.6631531802774,394.673223642977,3123.42425025677,90.3215498602854,0.220678317861041,3.32352852475841,113.085333306007,879.144754401424,0.0621139397063064,27.1541122790333
"3","[10,15)",96865.6094715432,478290.25580112,1607.61399283755,810.674185089445,0,37.7766238853262,34.2045440195089,1633.25024879676,12298.4997028875,0,0.971367892184201,11.6056930132534,919.416754387113,6091.53867543984,69.1526543797155,0.481125765440421,3.29335007810159,203.344769226586,1346.52613305257,0.106352179796949,27.1548828432602
"4","[15,20)",94409.5446697309,464091.464421054,1591.54127976635,516.042621428621,0,96.0800626621388,29.4150896908017,3239.89287374212,21040.2345075443,0,4.35592378849888,11.4867764877508,1660.4571593314,10882.11649153,58.4825255575674,2.25290597771974,3.23348007323964,272.391071426504,1660.70020487203,0.343811924975134,27.1520875331386
"5","[20,25)",92205.8807058738,447928.509980821,2532.87251917534,551.512490144904,0,116.626043413287,24.7803483013674,4827.07822971998,33062.1142381107,67.3589176009612,8.6083012903868,11.2871705459436,2115.76434922474,13155.4281116197,353.927623025236,3.4252464308017,3.12743843576628,330.529785059097,2928.79923194838,0.76256424577359,27.1635173089838
"6","[25,30)",89004.8696531403,425824.195829021,3580.79350806833,884.135794767172,201.169230362341,109.86842122236,20.3040302824555,7283.98353000397,48676.9661120056,283.899639247127,12.5593178335215,10.9690893721357,2309.9239699136,15552.5705581291,247.246088278232,4.0127742620269,2.99909729609226,751.05376143952,6377.86906334439,1.64557676998218,27.1694232493059
"7","[30,35)",84228.9026987201,391845.761527785,4797.66138350282,1382.9784519373,126.126866974399,118.955575164069,16.0385985427146,10568.3180809917,72504.7434179107,486.807316144735,22.0108121669431,10.4926616991664,2942.80090214052,19289.1871730961,481.020202417703,5.85576412942859,2.8462232462195,1481.72314255724,12107.3313187079,3.67551394483242,27.1402174706186
"8","[35,40)",77803.1804211415,350251.659923919,3869.77313868401,1367.45827766615,0,146.076054468315,12.1077708417793,14857.1613361828,96680.3228418274,1526.51164967953,40.3215222692301,9.77675664075441,3838.90338753069,25492.3690649144,1018.0042100855,10.6318545152983,2.65584678938493,2572.00201414924,22444.8747318394,9.36086568319155,27.0592380759438
"9","[40,45)",72419.872950323,293812.161393025,5626.29460380737,3827.4950203853,1200.51479560463,185.122861979807,8.59031424695856,17160.101302918,121139.766322364,3264.33429257941,76.3267937407219,8.81926197188984,4177.72560059604,29558.6019902259,1899.04663828632,18.6240520835111,2.40354025636816,5107.15700823109,49097.8921693854,30.935214772864,26.8886990743962
"10","[45,50)",61580.4456685459,221951.268113928,9049.37063944641,2952.86285327667,181.926635899928,231.182898671208,5.63618789863549,19445.7348204053,142811.874946642,2370.56059600566,148.751856636782,7.617919614823,6087.54993061151,38978.874962443,2709.89431054383,40.6001253218102,2.11120176304747,11440.1175199286,87845.8647894865,91.4996423804533,26.4753687045263
"11","[50,55)",49165.1026412517,148646.356125084,5061.13027694389,3726.80840339662,422.248359886466,249.980993914902,3.40178037195951,25975.7930072092,151550.223120118,8464.68102980044,254.864474253999,6.20106227098448,6289.91834802255,42030.3261667471,4033.64538679845,70.6830828795402,1.72465369015554,16610.9994199975,146060.938338051,245.633054786519,25.7176343587083
"12","[55,60)",39704.9346071098,94561.2180901569,6599.84497181222,1968.94421318064,0,230.848305384881,1.90155445617705,22317.3777800987,140045.505167882,6818.71904816198,341.887173174436,4.69461136793363,5912.39828174118,30333.6902707677,3455.2488003934,74.0523560980386,1.30690187314063,29285.9411416964,218395.594283694,533.159934507682,24.4324902742139
"13","[60,65)",30905.297116732,36737.3429849723,4055.81668967338,2843.70192691,1928.18745949374,141.584411881915,0.940321512026558,21756.6165305745,100730.077950987,10347.3360821808,388.210134068319,3.29409975032068,4352.04133843039,31875.48469194,2322.86713665814,122.846983120293,1.00711629687111,39026.7490557441,306660.445934601,1181.85844041189,22.4586751547514
"14","65+",21936.006628773,53571.7961936215,4341.87807167588,2679.54061999165,0,2310.43927445202,0.56866531989657,15076.8870039987,215637.578233698,24950.5825070263,9299.99673705502,2.28899572388405,4750.02914556196,64848.6725882074,13228.615956972,2796.78731514539,0.688369510870192,52443.2812936649,1850286.50718369,79798.9785471269,19.640815564687
