"","Age","lx_lost_none","Lx_lost_none","dx_lost_none_to_lost_dad","dx_lost_none_to_lost_mom","dx_lost_none_to_lost_both","dx_lost_none_to_dead","ex_lost_none","lx_lost_dad","Lx_lost_dad","dx_lost_dad_to_lost_both","dx_lost_dad_to_dead","ex_lost_dad","lx_lost_mom","Lx_lost_mom","dx_lost_mom_to_lost_both","dx_lost_mom_to_dead","ex_lost_mom","lx_lost_both","Lx_lost_both","dx_lost_both_to_dead","ex_lost_both"
"1","[0,5)",1e+05,496419.445799571,818.40020044237,451.558670226079,30.6092944968026,360.75470148361,44.551395335644,0,1059.73035056284,27.3725070355686,0.770120327689125,10.3361050296899,0,713.474978086195,68.5455057717136,0.518491882043298,3.29674131375068,0,157.731684280151,0.114625740708729,25.4604570220873
"2","[5,10)",98338.6771333511,488511.407126721,869.592545378439,408.466712854608,0,30.946004715575,39.731089501471,790.257573079112,6021.49430641349,0,0.381446960055822,10.3630381164127,382.494672572322,2753.06969037896,46.3099607078612,0.174400241996138,3.30156338210582,126.412681563376,819.380438986206,0.0519057499145347,25.5514157543624
"3","[10,15)",97029.6718704025,479460.700934595,1357.44629880907,702.783352151912,0,45.0008746987774,34.8392554875962,1659.4686714975,11638.7955961487,73.5183436631302,1.0923856350396,10.3058689214141,744.477024477073,5541.50590504646,35.6074666565284,0.520110641788655,3.27497003816316,172.670736521323,1301.84912670967,0.122188011058213,25.5512861051166
"4","[15,20)",94924.4413447428,466434.672769102,1533.78060596973,913.367414568259,0,149.599232930978,30.0397909952171,2942.3042410084,19209.905419781,36.6152089392835,6.16117815259089,10.193803754351,1411.13279933067,10010.2821169365,171.980262388885,3.21059006446912,3.22084712985046,281.674358829923,1796.48344418089,0.576184749789607,25.5502040819102
"5","[20,25)",92327.6940912738,448303.726061075,2574.97394347586,678.705198520254,102.555392518621,239.054732197913,25.39550610598,4433.30845988625,31140.9126954996,35.0380771878934,16.6056673457295,10.0169072162583,2149.30936144557,13325.1582256781,383.436332665471,7.10554462511949,3.12530984592173,489.693645408302,3580.85145524764,1.90946324090581,25.5731414236878
"6","[25,30)",88732.4048245611,423803.740950249,3557.25325480231,815.511608253855,105.769373586329,210.895284867082,20.9411698507578,6956.6386588285,47228.2427376284,396.403581932717,23.5019485283239,9.72952587998004,2437.47268267524,15920.90960523,301.600084963373,7.92264069922924,2.9992402255995,1008.81398453938,8106.25514439261,4.03387422689745,25.6052978702007
"7","[30,35)",84042.9753030516,392644.891368569,3787.32646001986,1452.54031362676,65.7714894382962,219.768524457235,16.7076860119759,10093.9863831698,67476.3849252272,444.066562795945,37.7674226170072,9.27617542642188,2943.46156526649,19344.774028742,523.010755089006,10.8275251702297,2.84571408126563,1808.5531507949,14307.4965524614,8.00809452798886,25.5871123230308
"8","[35,40)",78517.5685155094,351084.930076941,4150.39590069204,1973.71186758039,215.786132723775,248.551627615417,12.7728203939928,13399.4788577767,89196.4730770174,1508.80059090835,63.146910224796,8.61791587281644,3862.16359863402,27708.2089770012,1007.65081076579,19.6161095209426,2.65752016917179,2833.39386359016,24238.1378690407,17.1594622885028,25.5137357074382
"9","[40,45)",71929.1229868978,296990.117049268,4738.14722769988,2934.69958970156,705.160831903306,292.020315918257,9.24524683556764,15977.9272573356,111666.34134505,3166.49998031686,109.797728628148,7.74075609318623,4808.60854592768,32075.2846564737,1987.85817013921,31.5385402437403,2.38496772327163,5548.47193569957,49468.5928867084,48.6407906981356,25.3575525615204
"10","[45,50)",63259.0950216748,232534.03244614,8222.94783816871,2229.49998499151,530.056327983613,367.677948312313,6.2535555479513,17439.7767760904,132604.41149309,2515.73533648845,209.671321836444,6.63692136335353,5723.91142524628,35429.1628179814,2632.70988079631,56.0198511947085,2.06869588233208,11359.3501273608,86560.3776177888,136.867458551553,24.976641883542
"11","[50,55)",51908.9129222186,167314.822452312,5552.58407668447,2663.88917688836,340.470826504415,425.867808157978,3.90624177158374,22937.3179559343,139899.63641167,8117.66935665335,356.087707278397,5.32272744381818,5264.68167824676,34590.9127703552,3230.96720927052,88.0445377628971,1.71991611270959,16900.9842140776,140388.167428163,357.331169334907,24.2826804067079
"12","[55,60)",42926.1010339834,107803.518763643,6861.50740324877,3169.15316451579,345.911496441223,407.18979897425,2.20951102146405,20016.144968687,127513.135924558,9424.8943325458,481.635931546309,3.93036377454767,4609.55910810171,30201.620205557,3443.01463772588,114.075976380327,1.38082154525848,28232.760437171,209220.404793743,790.256343636224,23.1281567795517
"13","[60,65)",32142.3391708034,45599.8689671394,4059.93159853491,2791.31453234048,1444.59310636351,274.40879943857,1.10471308537094,16971.1221078436,85408.4839847703,8848.85327417167,513.967256551076,2.64870023028632,4221.6216585113,27724.6031447475,3585.45532528437,166.839844854454,1.08584156735859,40656.3245602477,304750.754840843,1833.91511111879,21.3434421353034
"14","65+",23572.0911341259,58233.6587990804,4442.98314875118,2619.65589042642,710.699712413173,2658.89168060743,0.638511043685631,11668.2331756558,163546.554701569,24294.4449877384,7467.37509982589,1.79322892442638,3260.64102071295,74335.1642528533,12068.9347156476,3394.07060941223,0.815058237597492,52701.3111549485,1701349.21892618,77681.9347659162,18.6546799197073
