"","Age","lx_lost_none","Lx_lost_none","dx_lost_none_to_lost_dad","dx_lost_none_to_lost_mom","dx_lost_none_to_lost_both","dx_lost_none_to_dead","ex_lost_none","lx_lost_dad","Lx_lost_dad","dx_lost_dad_to_lost_both","dx_lost_dad_to_dead","ex_lost_dad","lx_lost_mom","Lx_lost_mom","dx_lost_mom_to_lost_both","dx_lost_mom_to_dead","ex_lost_mom","lx_lost_both","Lx_lost_both","dx_lost_both_to_dead","ex_lost_both"
"1","[0,5)",1e+05,490980.259426885,1450.98608107797,331.098733268869,108.399021191852,1084.66080565578,39.3456205961407,0,3140.39795723625,0,6.93768540175473,11.9380316646712,0,695.996548308483,0,1.53757745312028,3.56690223878212,0,224.596067570683,0.496171784753019,20.5001184203278
"2","[5,10)",97024.8553588055,477955.309554141,2089.66161417479,758.632682805918,0,84.5173815312699,34.8165808340179,1444.04839567622,11859.5358971011,113.806890352541,2.09713523453502,12.0382813393968,329.561155815749,3519.64420060541,29.5764303323779,0.622382691039428,3.59930517451381,107.902849407099,960.322848153024,0.169814982547758,20.7245210024653
"3","[10,15)",94092.0436802935,463061.52187847,2286.11420124891,1138.93683744333,52.4918250700488,86.564091441892,30.0106982868557,3417.80598426393,21820.0110689426,132.805161847638,4.07900320841335,11.9289156153851,1057.99502559825,7631.70387795688,59.6517704631016,1.42666034886458,3.56687141873371,251.11635510947,1387.29442463057,0.259338933935576,20.7331323839529
"4","[15,20)",90527.9367250894,439427.880289563,3633.5055124067,1312.42260368131,113.373585551402,238.419287819101,25.3484242437224,5567.03602045679,36577.4486160957,88.1378236481122,19.8457349668908,11.7190570109982,2135.85343222962,13515.0788657635,272.634358588463,7.33284259494638,3.49290576261837,495.805773556323,3536.92816607688,1.91902228385621,20.7384699176594
"5","[20,25)",85230.2157356308,411986.084051972,2913.65730927855,1812.7089227287,162.630433504961,415.764379724554,20.9542496793976,9092.55797424849,52886.2113010148,585.343365053348,53.3712270601215,11.3794000599512,3168.30883472752,19046.2274070185,378.682896458223,19.2208990315627,3.36513045779736,968.032519060444,7205.10223999484,7.27117973063758,20.7588956384322
"6","[25,30)",79925.4546903941,381878.154092285,3667.25068527054,1383.01379802748,91.0263276099587,478.625256560256,16.8547571739785,11367.5006914136,66143.0560390037,869.418892322834,82.9001000112123,10.8971153707935,4583.11396196643,26285.9740754351,366.918489223573,32.9454066721791,3.18773393129644,2087.41803434634,14039.878293278,17.5968179331123,20.7903719067444
"7","[30,35)",74305.5386229258,342458.964610801,5388.50599745439,2124.64066327133,301.727980272857,594.291503596446,13.0380514827048,14082.4323843501,88579.6282663056,913.681835483214,153.718038977966,10.2862031832827,5566.26386409816,28972.1793946937,1307.10713871291,50.2773232247151,2.93776498991812,3397.18492556959,24748.4542906986,42.9476160123955,20.7768688020827
"8","[35,40)",65896.3724783308,294158.309814552,6382.81371487501,2219.45079681136,169.856490028037,703.634064632506,9.60327515382724,18403.5385073433,111365.934164145,1358.32252021973,266.390111389049,9.45803651372472,6333.52006543187,34349.3297668792,1356.03198176613,82.1644594589517,2.66317397330132,5876.75426402618,39964.5981294233,95.5963224052343,20.7015375004051
"9","[40,45)",56420.6174119839,242112.101336591,5463.77093625138,3062.64703047626,580.592098507341,827.376954266625,6.6342241222065,23161.6395906095,130479.02150983,3057.06833419444,445.889878351889,8.40405537855516,7114.77442101814,39022.6108327973,1905.39389779506,133.353139806449,2.3350301077533,8665.36893363484,61352.5163207805,209.661796373864,20.531619791976
"10","[45,50)",46486.2303924823,175940.347381636,5548.27914082609,3598.26218675434,251.61468528033,817.336033363268,4.16596925535658,25122.4523143146,145336.960780512,3660.75312710541,675.167105176555,7.15711632504751,8138.67441389289,44980.699477881,2698.04179293536,208.959155965574,1.95903008160341,13998.7614677578,97351.5548599711,452.249497486787,20.2311525009932
"11","[50,55)",36270.7383462583,109243.995918133,6353.57334232415,1788.69434590698,608.771981788115,732.04932336623,2.34302273904338,26334.8112228587,151282.659283644,7777.17595905144,1013.75244868036,5.73862935499469,8829.9356517463,41769.4786458245,3764.47855674141,279.899305431398,1.51399839192071,20156.9215755921,148572.725527398,995.593050939974,19.6439897489303
"12","[55,60)",26787.6493528728,58804.4082440593,5384.68004981067,2319.72904814577,772.326959913149,594.254385827571,1.18954255086796,23897.456157451,130897.255690573,7297.56956291789,1322.79654892666,4.22634654990503,6574.25213548048,33373.96793648,2482.62613967513,337.26428699715,1.09405059761608,31311.7550222331,209473.149378887,2116.85384563143,18.6366349672773
"13","[60,65)",17716.6589091756,24515.0827529933,1543.32947137319,1676.16392317111,95.3384259718649,367.40177258989,0.552906654314963,20661.7700954171,97302.8216462009,8608.38411735392,1458.2544758674,2.89115363706968,6074.09075695397,26773.5330539063,2581.89963577642,401.248635446605,0.754481667768651,39747.4238391079,257876.476609399,3864.73403211174,17.1163332110609
"14","65+",14034.4253160696,22039.6402619936,2693.17303244543,1356.61051672939,579.155415708728,1240.04106820389,0.282167609921475,12138.460973569,146132.224246515,16963.161213246,8222.00168875475,1.87089171864815,4767.10640890205,36753.7997946621,7324.8175592347,2067.92037511242,0.470549052539486,47168.3119860983,1183318.24487652,66578.3652981047,15.1497064817826
