"","Age","lx_lost_none","Lx_lost_none","dx_lost_none_to_lost_dad","dx_lost_none_to_lost_mom","dx_lost_none_to_lost_both","dx_lost_none_to_dead","ex_lost_none","lx_lost_dad","Lx_lost_dad","dx_lost_dad_to_lost_both","dx_lost_dad_to_dead","ex_lost_dad","lx_lost_mom","Lx_lost_mom","dx_lost_mom_to_lost_both","dx_lost_mom_to_dead","ex_lost_mom","lx_lost_both","Lx_lost_both","dx_lost_both_to_dead","ex_lost_both"
"1","[0,5)",1e+05,489139.852813751,1433.02939819121,570.384983821177,17.9053756839031,1282.05497073476,39.2580120590423,0,3609.2033442423,0,9.45986523334921,10.3571894912723,0,1364.50703729223,0,3.57642710913838,3.55894650507884,0,17.9524297148111,0.0470540309080145,14.6059854211691
"2","[5,10)",96696.625271569,477711.200144958,1384.16222389512,1047.54433380674,36.9650488948167,105.215159093754,34.8175470066961,1423.56953295786,10303.5248340225,23.314354653936,2.26933554061359,10.4565233224253,566.808556712039,5066.06925858263,0,1.1157939836035,3.59182027768828,17.858321652995,145.369824937142,0.0320174809666414,14.7974525603957
"3","[10,15)",94122.7385058785,461825.504883429,1925.0565833855,1276.50644280362,34.7464256028808,154.789250070912,30.010782579094,2782.14806665843,19088.8154886958,49.955843282766,6.39796503872834,10.3635420503245,1613.23709653517,10969.8140533699,139.137094449302,3.67673346920734,3.54439575129066,78.1057077207812,844.84213700533,0.283164267526478,14.8122819205006
"4","[15,20)",90731.6398040156,442085.708657631,2404.30685324919,1121.48454270265,75.734370084234,797.523500275225,25.3692685016975,4650.85084172243,29129.1839334875,293.542447810804,52.5491059218722,10.1869993194726,2746.92971142028,15737.8805213664,350.696958067407,28.3911678539097,3.43889592332213,301.661906788203,3325.04720001311,5.99839178150963,14.828550999143
"5","[20,25)",86332.5905377043,412204.008504143,2923.54560898268,1912.61750174852,228.529199914771,1321.18166132424,21.0672496766787,6709.06614123895,42953.9370798269,610.313370892089,137.674434941775,9.98074817556602,3489.32612820161,21864.8109993384,262.647968310921,70.0803163595534,3.30873985119221,1015.63729096914,6951.6106041916,22.2810556361505,14.9289167837165
"6","[25,30)",79946.7165657341,373230.849946803,3470.29369571074,1216.32462064512,269.462565444608,1236.33036352234,17.113684172788,8884.62394438777,56733.7235015362,134.444371728073,187.930941428415,9.69457181901132,5069.21534527966,30763.8821811666,618.347125035878,101.905621268502,3.1344374161209,2094.84677445077,15340.192807994,50.8145190932453,15.0977415950271
"7","[30,35)",73754.3053204113,334157.226661619,4562.00403769826,1456.14950907746,0,1325.78188024196,13.4465728275536,12032.542326942,76021.6924385703,685.905488953171,301.619041273783,9.25561575697447,5565.2872196204,33510.6910006904,1056.66620799795,132.954978609791,2.86096403057519,3066.28631756608,23901.01489912,94.8282124232927,15.1874350077924
"8","[35,40)",66410.3698933936,284075.134255627,6487.27423911339,2713.99131030624,248.20624235937,1385.35387535738,10.1060303327576,15607.0218344133,101203.018810284,1218.88690625959,493.538424875062,8.61982485696653,5831.81554209012,35332.2537702107,1140.98291529916,172.305382566945,2.55627406554825,4714.02980209391,36792.7806638777,179.42795806975,15.2336132346167
"9","[40,45)",55575.5442262572,225794.425495479,6038.95046316229,1974.58541520928,97.8558717562244,1368.22886623765,7.21081483799736,20381.8707423921,121095.677307015,2301.78246389534,733.794029256827,7.71234058793134,7232.51855453025,42035.9782173994,1234.99531016526,254.722138030526,2.2282622308658,7142.67790794228,56234.9189801062,340.762351728906,15.2024804890682
"10","[45,50)",46095.9236098918,178888.527294859,5285.86667635349,1837.16939959422,258.964724763043,1458.59592919134,4.85624238407798,23385.2447124022,130239.739368195,3297.35882500312,1061.93033468418,6.56791813014616,7717.38652154374,37206.3167055089,2261.59100064711,303.367593816725,1.81718010967207,10436.5492020302,83466.5963189368,680.558107639788,15.0287360782101
"11","[50,55)",37255.3268799897,118891.323643811,5641.26477773825,2272.91795245157,330.502708300956,1362.32675427058,2.93221018641385,24311.8222290684,133216.624074194,6973.54992772092,1526.47447709131,5.29343824084754,6989.59732667414,33375.5931756837,3319.66076027958,382.4371882603,1.45062991545318,15573.9056448037,124064.318481312,1421.60197344422,14.6626482097721
"12","[55,60)",27648.3146872284,63464.3661289076,4320.16560311196,1965.69893732555,391.180060439142,1086.87821453465,1.60877344906899,21453.0626019944,113637.691737152,6741.67926884823,1946.13669107231,3.92915916393286,5560.41733058582,30921.4650924895,3444.49859439906,529.554911212013,1.11617944649816,24776.0170676609,173685.453603951,2974.50281501696,13.9670751604558
"13","[60,65)",19884.3918718171,37620.9333212786,3396.00237387496,1838.40728035498,454.696985461084,971.950028432017,0.88247493156859,17085.4122451858,79640.0949565986,8390.73026258647,2057.52983043653,2.72268993777182,3552.0627623003,16568.7181896068,1837.89808870477,428.058654950006,0.792109747610857,32378.8721763304,209384.151970016,5409.51312192364,12.8370221767949
"14","65+",13223.335203694,26712.1441519349,1649.23876787972,3063.13098123411,0,1873.10130194937,0.417157699710127,10033.1545260378,118846.022253405,14447.8510752272,8333.68664635002,1.85599227755507,3124.51329900051,41176.670305178,6593.48593012894,2887.37865144315,0.643047033908213,37652.6843911591,726444.292195732,50939.5180621227,11.3447212689578
