"","Age","lx_lost_none","Lx_lost_none","dx_lost_none_to_lost_dad","dx_lost_none_to_lost_mom","dx_lost_none_to_lost_both","dx_lost_none_to_dead","ex_lost_none","lx_lost_dad","Lx_lost_dad","dx_lost_dad_to_lost_both","dx_lost_dad_to_dead","ex_lost_dad","lx_lost_mom","Lx_lost_mom","dx_lost_mom_to_lost_both","dx_lost_mom_to_dead","ex_lost_mom","lx_lost_both","Lx_lost_both","dx_lost_both_to_dead","ex_lost_both"
"1","[0,5)",1e+05,490068.620533105,1442.52028209732,440.176090860266,67.1036007262563,1195.53600922207,39.247108953523,0,3353.72181789603,0,8.18149750915865,11.1834677803292,0,1000.75112241566,0,2.44136015445312,3.554361712916,0,130.328401583038,0.317939754941627,17.5605015568939
"2","[5,10)",96854.6640170941,477721.499373826,1770.13093493823,889.043337334757,16.7120498190605,101.124460740262,34.7658647582507,1434.33878458816,11152.999829017,72.8637187929251,2.36087572952839,11.2860946489109,437.734730705812,4217.87423580507,16.1967160868917,0.892842918154419,3.58763821591414,66.7856609713147,591.63437385213,0.12523762713133,17.7736329891975
"3","[10,15)",94077.6532342618,462341.115285044,2124.76320514022,1199.61584326355,44.5854728822703,129.690949262483,29.9620025860119,3129.24512500394,20598.3538915606,95.9367751107405,5.77802834557351,11.1850337346288,1309.68850903552,9112.15190422612,94.9488290573769,2.55604269491465,3.54869805916332,172.432908043061,1145.74610666921,0.321392355720113,17.7864582278049
"4","[15,20)",90578.9977637132,440319.448962299,3087.98252085973,1227.14331077687,96.6676344563495,520.258794297212,25.3126580970373,5152.29352668785,33266.3946225157,178.794967944447,39.3058594111911,10.9917222887692,2411.79948054678,14487.5487975915,306.91525461325,17.1177418747232,3.46121807694055,407.582592737728,3441.13886759298,4.06587254431382,17.7998005936613
"5","[20,25)",85646.9455033231,411553.362418423,2913.8295781145,1853.93436383281,191.298799831485,872.794109233002,20.9682727929948,8022.17522019194,48467.2065902354,595.457694382919,102.78592344467,10.7173222561361,3314.90979483568,20256.5941172715,327.252949982741,42.9587937631851,3.33385811619333,985.894577207461,7084.81343657028,15.0249858150024,17.8701905117634
"6","[25,30)",79815.0886523113,377294.830437304,3573.11799832405,1307.33040463436,168.405399789119,867.819263575001,16.9462390271154,10237.7611804789,61912.4858683549,547.815768032248,142.405470623859,10.3316034047833,4798.63241492257,28174.2099469814,475.398319846604,64.803755990131,3.16043668648845,2084.8790355896,14574.3174973606,33.5225199428474,17.9876401921524
"7","[30,35)",73898.4155859887,337848.181933331,5012.32006374069,1827.19329126938,169.479613313093,958.908177893994,13.2050611246796,13120.6579401468,82860.9158675337,811.752702831434,235.18258822196,9.8050416419057,5565.76074372019,30860.6004807689,1194.11214376868,87.591065331138,2.90298877319055,3242.97600331473,24307.6454683664,68.99193564275,18.0436375709993
"8","[35,40)",65930.5144397716,288710.082833714,6404.61406697602,2426.63547376572,203.355667323048,1034.50540486299,9.81786606765274,17086.0427128341,106542.698976376,1292.53853210095,381.763590858836,9.06816997977798,6111.25082588975,34652.9820686316,1257.31849040106,124.168497659526,2.61784448071033,5349.32852758519,38440.4861212777,137.739874782713,18.0443085092421
"9","[40,45)",55861.4038268438,233981.253389486,5691.80268170602,2574.15782534064,367.183757613861,1091.62229721196,6.88427701260058,21816.3546568503,125839.956014887,2714.01024683783,587.097042502617,8.08405603888914,7156.39931159489,40174.5530323888,1604.33768672465,187.431416984838,2.29176551622322,7964.80134262753,58863.3625632374,274.622680800585,17.9563868881936
"10","[45,50)",46136.6372649713,176474.907937888,5407.04589782828,2800.49350346459,253.754658660055,1109.2026959491,4.4659235557273,24207.0500492159,138010.791837708,3483.11710287074,867.443106587899,6.8868804415299,7938.78803322604,41339.0174988698,2492.27249232972,259.829287876846,1.90273956724176,12375.7103530033,90772.9233505341,570.537604898655,17.7311158065809
"11","[50,55)",36566.1405090693,112997.863771409,6003.06743867597,1995.95174309049,481.35631253897,1008.31203396269,2.59982408171919,25263.5357375855,142476.653734592,7378.64262160134,1271.35964985981,5.5359677319824,7987.17975648406,37820.3733859075,3546.6285364873,337.481934093181,1.492978241352,18034.3170019652,136909.304420591,1221.68061059994,17.264399860942
"12","[55,60)",27077.4529808012,60603.6474528711,4871.47095849045,2146.21225562035,594.771464294294,809.633985716452,1.37360469650081,22616.6009048004,122378.123267985,7005.51428387213,1634.90964439079,4.09302547205476,6099.02102899407,32084.8396168444,2906.94240583185,428.637180629434,1.11102164151271,28219.2638619928,192138.272474799,2566.86984844302,16.4236426471696
"13","[60,65)",18655.3643166796,30204.2754286031,2367.39526260402,1736.48803110535,256.748224433375,601.569277458615,0.69739716857224,18847.6479350279,88633.5576963064,8444.03008965784,1765.28734774617,2.81888847075862,4909.65369815314,21991.1204082194,2226.3666295848,437.990391318909,0.779596572735325,36159.6221675481,234146.569904371,4663.42532234351,15.1153852453011
"14","65+",13693.1635210783,24591.8055949932,2167.9004230653,2259.44885738689,280.725772616635,1520.22071680925,0.345856813864014,11005.7257602279,132852.918017956,15777.8816708688,8212.72588055011,1.86843079743531,3981.78470835479,39263.5546756784,6998.54825600103,2427.2015734254,0.552198896850029,42423.3417888806,953503.612702584,58943.8599774086,13.4099840787731
