"","Age","lx_lost_none","Lx_lost_none","dx_lost_none_to_lost_dad","dx_lost_none_to_lost_mom","dx_lost_none_to_lost_both","dx_lost_none_to_dead","ex_lost_none","lx_lost_dad","Lx_lost_dad","dx_lost_dad_to_lost_both","dx_lost_dad_to_dead","ex_lost_dad","lx_lost_mom","Lx_lost_mom","dx_lost_mom_to_lost_both","dx_lost_mom_to_dead","ex_lost_mom","lx_lost_both","Lx_lost_both","dx_lost_both_to_dead","ex_lost_both"
"1","[0,5)",1e+05,495469.232472287,771.331409573749,356.757651586043,46.3217126247984,517.635811995185,43.8248860081037,0,1461.79299792825,2.51050419666462,1.52719151030995,10.5996324156449,0,598.030543609503,2.16764610522954,0.624785568408712,3.32260056018246,0,142.662736174938,0.149045261423977,19.6525974430709
"2","[5,10)",98307.9534142202,488675.758014523,915.233913340402,396.421077229518,5.98567025046204,48.0591179883729,39.0733506861044,767.293713866774,5719.01495663845,19.8847364520362,0.562440043465771,10.6403375909275,353.965219912405,2500.71278531128,21.9518150122978,0.245934136967636,3.33395473565004,50.8508176652685,374.45174352741,0.0368256870286594,19.7538786384549
"3","[10,15)",96942.2536354115,480377.272237389,1460.62408143038,489.718976926596,16.1277630391678,73.3515696045382,34.1778546935439,1662.08045071167,11495.9456240208,28.3646439322026,1.75538208059443,10.5880538184924,728.188547992657,4524.70909973899,23.5559386489616,0.690903865880189,3.31044438286239,98.6362136930359,609.018351351668,0.0929945161259359,19.759828849696
"4","[15,20)",94902.4312444108,467519.44260821,2027.35760083139,880.158913060898,18.9032421361232,229.919599380524,29.3690178288588,3092.58450612926,19874.3889163544,68.9536547085052,9.77394974653551,10.480436676547,1193.66068240441,7618.71680043922,117.080982927784,3.74677960937468,3.26743255200676,166.591564797242,1237.10792499682,0.608392577042198,19.7687938687924
"5","[20,25)",91746.0918890019,447515.075344661,2742.0898615406,1009.63606115791,42.089321492441,420.671182727305,24.7242150741476,5041.21450250561,31862.9486790786,192.017815995624,29.9516710038969,10.3057170768871,1952.99183292815,12305.7548655035,195.18333776048,11.567602386661,3.19860774366949,370.921051992612,2796.45548575654,2.62871197295744,19.804989617056
"6","[25,30)",87531.6054620836,422229.185902992,3079.65229327403,1351.09449496781,54.5816841697633,569.220729854086,20.3041571763873,7561.33487704669,46673.2582087848,315.000958139443,62.9217187946277,10.0312757934774,2755.87695393892,16909.0931612726,268.660944394485,22.7956917043666,3.08893341148176,797.5828152682,5844.29085195032,7.87887624848139,19.8699621511396
"7","[30,35)",82477.0562598179,388910.99498339,4125.57283560621,1956.99030815316,76.9115442684161,699.046165744486,16.1323220123047,10263.0644933866,64327.9630808674,782.730344426759,115.625982607547,9.62279506652472,3815.51481280787,23619.5836571753,557.009246092924,42.4549051197041,2.93725789841247,1427.94752572341,10949.3489035683,19.6808536327571,19.9447274187134
"8","[35,40)",75618.5354060456,346771.458515921,5196.81508893005,2287.82245933544,157.386950600136,772.347751682127,12.2730021507097,13490.2810019586,85021.472754483,1171.30444353364,189.364325448409,9.04723633584916,5173.0409697484,30467.3949743,816.996010291963,67.8585951355958,2.72054611386331,2824.91780687875,20661.0096927964,46.0172946528161,20.0120582686286
"9","[40,45)",67204.1631554979,291060.656262393,6729.73543337727,3137.45585819123,195.417433553787,799.046906447993,8.79943487870542,17326.4273219066,108561.839286285,2502.93057843342,298.034103797966,8.26321611764239,6576.00882365628,39059.4381860975,1507.67837124169,107.229618908237,2.4337516406417,4924.58791665168,38324.5506402247,105.212136959088,20.021052000601
"10","[45,50)",56342.5075239276,227951.088296026,7157.43377575153,2991.3074585336,353.022080802436,847.457945005792,5.84828750583487,21255.1980730524,129757.252683116,4088.03240152025,482.400919997486,7.23134062138198,8098.55669169758,44829.1313118196,2504.84957117202,166.662084317725,2.05503803033231,9025.40216292148,66934.9417715394,248.845261616503,19.8932405445645
"11","[50,55)",44993.2862638342,158489.164800454,7783.21105653209,3419.56648947394,563.384935955943,855.164978343153,3.50636072988448,23842.1985272862,141853.409377489,6772.72815829064,765.402908841978,5.97149362835319,8418.35249474144,44753.6454301214,3570.25706440932,241.478654223543,1.61145900265754,15722.4609547997,113979.561641937,615.003110690947,19.5467658670956
"12","[55,60)",32371.9588035291,94556.7545629296,6767.51206823913,3277.423445483,446.943275410379,765.167321334794,1.8510571726673,24087.2785166857,138581.682691309,9164.20036609106,1121.42358757043,4.56748526294888,8026.18326558252,40138.9012544613,4329.05723268244,324.809958803713,1.16104668572982,26013.8280027646,170736.942741302,1381.62873434186,18.8223271641775
"13","[60,65)",21114.9126930618,42000.2355753356,4562.8221134645,2179.60479371951,526.16512816805,493.058603701494,0.839554612531075,20569.1666312633,109618.397911115,11401.5880580891,1286.85693005467,3.16171013145292,6649.73951957936,29538.3403979039,4547.09180876671,346.763123414543,0.747184089727712,38572.4001426067,241493.987053146,2835.00048101288,17.6359002136652
"14","65+",13353.2620540082,30962.2812338616,3757.47424498061,1901.66964213105,893.485277344268,1666.25705301509,0.377844351656506,12443.543756584,165153.874397024,25259.9933269933,8887.87250423435,2.01543478414174,3935.48938111762,35396.6035504922,7036.77260642599,1904.89324327576,0.431958053037492,52212.2446566177,1291175.41476882,69485.5177268185,15.7566987323466
