"","Age","lx_lost_none","Lx_lost_none","dx_lost_none_to_lost_dad","dx_lost_none_to_lost_mom","dx_lost_none_to_lost_both","dx_lost_none_to_dead","ex_lost_none","lx_lost_dad","Lx_lost_dad","dx_lost_dad_to_lost_both","dx_lost_dad_to_dead","ex_lost_dad","lx_lost_mom","Lx_lost_mom","dx_lost_mom_to_lost_both","dx_lost_mom_to_dead","ex_lost_mom","lx_lost_both","Lx_lost_both","dx_lost_both_to_dead","ex_lost_both"
"1","[0,5)",1e+05,495061.593452263,176.305182942444,0,0,620.000825551073,45.6198173137724,0,1095.9432460693,0,1.37252763354507,8.60795220001475,0,1019.22892666805,0,1.27645283802582,3.00513563802311,0,0,0,19.7620543940882
"2","[5,10)",99203.6939915065,490670.989863938,232.409183193066,0,0,53.5834625961497,40.9240173309117,174.932655308899,2883.85558083068,125.714959604499,0.314929903826163,8.65085787479005,-1.27645283802582,2482.51904477979,0,0.271102162402293,3.0137083924186,0,705.026135451311,0.076992001440189,19.8858750378788
"3","[10,15)",98917.7013457173,482837.554338629,970.392294247826,0,0,79.2179542505039,36.006219833049,281.31194899364,9958.30848425301,98.9551806548348,1.63383485569703,8.62654785332414,-1.54755500042811,3353.98653556631,0,0.550280212348515,2.99036009267344,125.637967603058,310.611579052197,0.0509612676933096,19.8896383377443
"4","[15,20)",97868.0910972189,473444.539843068,1447.48901101351,0,0,276.996768040891,31.1705028026582,1151.11522773093,15472.8817694182,0,9.05267223871312,8.53328475852783,-2.09783521277663,5975.45560653994,0,3.49604177742133,2.95901851846909,224.5421869902,691.966530973626,0.404846769878675,19.9028345838092
"5","[20,25)",96143.6053181645,463327.486514418,1055.14962431263,734.708644190976,0,504.010376432827,26.4772388807032,2589.55156650573,21321.7305339539,0,23.1939044097333,8.40192202079359,-5.59387699019796,7697.56974179798,0,8.37346183013644,2.90730179932856,224.137340220321,1150.87727233002,1.25193109439448,19.9541634592856
"6","[25,30)",93849.7366732281,440307.39091597,1238.28490687341,660.089242914213,0,619.283963041426,21.9137630583793,3621.50728640864,32614.412193315,235.675334666274,45.8715498582154,8.23110081284816,720.741305370642,15726.04887006,0,22.1183883535865,2.84494486073864,222.885409125927,1763.03083315462,2.47966930341304,20.0513142397893
"7","[30,35)",91332.078560399,410364.642295144,3349.42200658438,1263.95060846085,0,733.308543290839,17.5628603727888,4578.24530875756,45830.7157107731,323.154510631757,81.8980290014165,7.95546014192117,1358.71215993127,22299.9590415623,0,39.8493164244208,2.70410336727765,456.081074488787,8030.22201502099,14.3497509317623,20.1747969881877
"8","[35,40)",85985.397402063,378123.842944249,4567.67918822305,2262.69403719002,246.387797575052,833.6620345025,13.4836432207846,7522.61477570877,64749.9017813392,564.550704896782,142.756231483734,7.55368519254857,2582.8134519677,27313.2916596292,686.516450306077,60.2185096729905,2.4981372006196,764.885834188782,11518.4479897828,25.3950999511273,20.2729829886638
"9","[40,45)",78074.9743445723,335993.676415858,3623.95983837074,1321.99663415372,0,934.068006288352,9.68585736813398,11382.9870275513,87455.4647769841,724.880710385764,243.127646016029,6.96149929762726,4098.77252917865,31021.5497896551,1088.23725549019,86.2404241445731,2.24070687745262,2236.94568701556,21328.2855800029,59.2929884924514,20.377500279963
"10","[45,50)",72194.9498657595,263299.992323003,5220.17532636902,2705.68910142969,210.079651109248,1007.06225470697,6.26489033982705,14038.9385095203,112558.974458143,3712.2401386085,430.512335398268,6.1332306969051,4246.29148369761,43947.6242242827,1273.58800303272,168.089611966367,1.94370855874353,3990.77066439907,48312.3777445713,184.783795975267,20.4370484958668
"11","[50,55)",63051.9435321446,180965.392428033,5753.9194916917,1189.79892056047,346.280216493959,1015.03905546298,3.54497554022755,15116.3613618825,125062.242828845,6751.46730837816,701.477001386084,5.03723166714155,5510.30297012822,48179.7103133933,2299.91322221961,270.241105179463,1.50707393339284,9001.89466117427,103185.826304729,578.771677082801,20.3105838850437
"12","[55,60)",54746.9058479355,94908.5121428162,5399.3837519713,1859.517073928,159.30984079162,803.390773436137,1.63773755319797,13417.33654381,132612.864379747,6842.49947841844,1122.55422908019,3.7928313383789,4129.9475632896,39102.9841929432,2608.63653798204,331.002731000114,1.01533235947805,17820.7837311832,175132.756471993,1482.48073328043,19.7437701510424
"13","[60,65)",46525.3044078084,35960.7223975518,1847.20517229566,769.997860397833,430.998175049935,445.300806882404,0.609850112253344,10851.6665882826,103237.058332002,5231.39371393475,1278.38214336139,2.42172706865162,3049.82536823544,28330.6776499963,4215.67235739284,350.818136454554,0.60657971736922,25948.7488550949,251931.40880795,3119.66090060634,18.5709572828007
"14","65+",43031.8023931826,16715.3955022949,1932.23319152456,616.848192221893,591.388143483644,905.337931674685,0.20590193177598,6189.09590328215,105940.865925802,15710.3555759923,5737.96081725512,1.30499029742658,-746.667265214114,24062.9582054368,4124.83864699995,1303.29604278245,0.296409952014829,32707.152200866,1352144.60214381,73234.7492024284,16.6558539152515
