"","Age","lx_lost_none","Lx_lost_none","dx_lost_none_to_lost_dad","dx_lost_none_to_lost_mom","dx_lost_none_to_lost_both","dx_lost_none_to_dead","ex_lost_none","lx_lost_dad","Lx_lost_dad","dx_lost_dad_to_lost_both","dx_lost_dad_to_dead","ex_lost_dad","lx_lost_mom","Lx_lost_mom","dx_lost_mom_to_lost_both","dx_lost_mom_to_dead","ex_lost_mom","lx_lost_both","Lx_lost_both","dx_lost_both_to_dead","ex_lost_both"
"1","[0,5)",1e+05,495073.726767849,177.951906302733,0,0,568.121925458368,45.5530150147286,0,862.864453001635,0,0.990180225578283,9.18014655383473,0,1479.90877914959,0,1.69826952967646,3.18639691155823,0,0,0,21.9626742493707
"2","[5,10)",99253.9261682389,490516.023187021,469.565772906027,0,0,47.9051325001346,40.8353679414175,176.961726077155,2775.86540280594,253.997890107028,0.271098585240826,9.22416990349684,-1.69826952967646,2971.20156009966,0,0.290175647059162,3.18980538241167,0,754.667662572867,0.073702901964807,22.0887579149598
"3","[10,15)",98736.4552628327,482250.875295654,1336.29262221691,0,0,61.4518515574074,35.9195832088097,392.258510290913,10359.2644165649,0,1.32005147482708,9.20074348500456,-1.98844517673562,4158.75091278091,0,0.529937749931023,3.16146615118144,253.924187205063,0,0,22.0919527010519
"4","[15,20)",97338.7107890584,474591.737627877,1149.55385439419,0,0,153.666921269216,31.0868200247328,1727.231081033,15514.1631725786,0,5.02329371074658,9.10230262665097,-2.51838292666664,4988.89855080768,0,1.61534350483821,3.12160766108561,253.924187205063,1137.02096123724,0.36815329193297,22.1060323300052
"5","[20,25)",96035.490013395,456599.830118203,1444.83807708452,1337.7893316061,0,259.044366739898,26.3509119200301,2871.76164171644,28119.4034503043,0,15.9530787779795,8.96059076134952,-4.13372643150485,9462.23597369659,0,5.36824318378562,3.0763525793758,253.55603391313,947.639832796257,0.537627796139696,22.1303856718011
"6","[25,30)",92993.8182379645,440292.318045664,1740.39363991353,131.690662758504,0,354.08724567949,21.8078594256604,4300.64664002299,31043.8881666229,153.622756883923,24.9657884218675,8.70165591239291,1328.28736199081,19751.4028367584,0,15.8842649352072,2.98939404865281,253.01840611699,2349.9847009548,1.88987991851297,22.1836722344029
"7","[30,35)",90767.646689613,407728.305384682,3626.04436155952,975.092674319936,0,452.919271954297,17.4248066588389,5862.45173463072,50953.8874264944,0,56.601411507782,8.42148548922122,1444.0937598141,24113.1007085389,0,26.7856998722914,2.8008751111392,404.7512830824,8299.57366778466,9.21946505430256,22.2491983779989
"8","[35,40)",85713.5903817792,372866.08654339,4320.31942380708,1556.80371490266,0,548.893974350603,13.3585485619479,9431.89468468246,71809.4851340271,635.496108521764,105.710320980613,7.94810512804198,2392.40073426175,30931.7931205177,688.756671892216,45.5345108403572,2.57025769930574,395.531818028097,12338.4008270652,18.1632873342866,22.2883870892789
"9","[40,45)",79287.5732687189,337657.293465825,3140.5708564922,1917.1650818007,0,662.068299307293,9.62177899953549,13011.0076789872,90360.6412399224,768.95362786518,177.176436664434,7.26816655531709,3214.91326643183,29588.1634304367,1608.54915977221,58.0155839103713,2.27107009560501,1701.62131110779,26216.7690513159,51.4050548737623,22.3261533474191
"10","[45,50)",73567.7690311187,266648.196103148,7272.4752691955,3132.19057206736,415.364664181376,746.229944369441,6.20907013926725,15205.4484709498,120490.77743964,1630.51495779182,337.200204088506,6.4011399868892,3465.51360454995,44264.2086216971,1926.87204542889,123.875872479365,1.9860936237643,4027.71904387142,46777.0053355144,130.908075132025,22.2738324367905
"11","[50,55)",62001.508581305,174431.483919793,7168.10361774123,1104.71334877443,0,723.481968571449,3.48765572354826,20510.2085782649,132143.878180318,6692.35632926412,548.087483819852,5.22209493471414,4546.95625870905,51805.0465102356,1908.2628699358,214.86956476501,1.54780060179088,7869.56263614148,111701.528889654,463.299630304628,22.0950667231558
"12","[55,60)",53005.2096462179,102387.405975716,6539.84979560753,2094.2891150056,0,640.897799551949,1.6847504785009,20437.8683829222,139546.387618822,7224.43020479999,873.495835821238,3.91037083521571,3528.53717278267,37072.5661827849,2878.05492354405,232.057115461311,1.02308542490667,16006.8822050368,179140.085535177,1121.33406972214,21.3570251897066
"13","[60,65)",43730.1729360528,31199.0927371882,2719.50041851186,694.452801841158,437.412747467308,288.123974200926,0.602128200488384,18879.7921379085,111578.424564501,4552.11095428144,1030.42801248777,2.48620912272819,2512.71424878291,30740.4740215687,4169.93288691028,283.888625176507,0.644234111927802,24988.0332636587,267344.641489242,2468.93078706058,20.0487167746756
"14","65+",39590.6829940316,23059.1263008439,1253.75537150991,975.47039284965,564.387446763881,1165.62366109465,0.268006693384816,16016.7535896511,112455.724717869,16162.0140008826,5684.56288614448,1.30702640423658,-1246.65446146271,27311.9399467505,5554.65440717112,1380.60059245018,0.317435388468529,31678.5590652571,1539260.10698376,77808.5855409747,17.8901839622942
