"","Age","lx_lost_none","Lx_lost_none","dx_lost_none_to_lost_dad","dx_lost_none_to_lost_mom","dx_lost_none_to_lost_both","dx_lost_none_to_dead","ex_lost_none","lx_lost_dad","Lx_lost_dad","dx_lost_dad_to_lost_both","dx_lost_dad_to_dead","ex_lost_dad","lx_lost_mom","Lx_lost_mom","dx_lost_mom_to_lost_both","dx_lost_mom_to_dead","ex_lost_mom","lx_lost_both","Lx_lost_both","dx_lost_both_to_dead","ex_lost_both"
"1","[0,5)",1e+05,497002.416780516,757.403482905256,0,0,491.689597641634,45.2327632623594,0,758.153531984508,0,0.750049079251602,10.7769491257302,0,0,NA,0,3.2204293836555,0,0,0,22.1097063386065
"2","[5,10)",98750.9069194531,491186.560204784,0,0,0,41.6211118095788,40.4619922788757,756.653433826004,2945.07733708462,0,0.249553638201239,10.8226632884621,0,1544.63345018302,0,0.1308858318682,3.23636671986277,0,1753.36963294891,0.148573270217453,22.2191233701212
"3","[10,15)",98709.2858076435,483227.699898071,0,0,0,61.0031538761848,35.5408783601773,756.403880187803,9161.39665967875,0,1.15654398592844,10.7976420235765,-0.1308858318682,4805.07531725013,0,0.606597570931254,3.22220928205767,-0.148573270217453,0,0,22.2109142722496
"4","[15,20)",98648.2826537673,477479.477288149,0,0,0,147.453404650266,30.7020001684382,755.247336201875,17473.1015364912,0,5.39597707107434,10.7122945833118,-0.737483402799454,1715.47586285945,0,0.529766761936295,3.17590410501096,-0.148573270217453,0,0,22.2249371240988
"5","[20,25)",98500.8292491171,473475.454191884,1245.2787241759,1215.24465977896,0,224.205752050695,25.9385352742154,749.8513591308,12097.4258946086,0,5.72851759592813,10.5527969582418,-1.26725016473575,10112.2761635075,0,4.78848578550536,3.16352772172341,-0.148573270217453,0,0,22.2592842185477
"6","[25,30)",95816.1001131115,437958.008578765,0,0,0,255.895454562843,21.218145370683,1989.40156571077,36702.9191417335,738.052281267246,21.44522989324,10.4556345876068,1209.18892382872,17545.1641821386,0,10.2515028286339,3.06889780455078,-0.148573270217453,2173.94715986303,1.27022039960871,22.3120509316929
"7","[30,35)",95560.2046585487,391459.016291246,4095.15775870989,0,0,311.92797985725,16.844117738636,1229.90405455029,68722.8098565636,0,54.7606936015058,10.1144605909086,1198.93742100008,18048.031872274,0,14.3812912413012,2.90016092683206,736.63348759742,14455.8216674166,11.5188948580484,22.3553149834538
"8","[35,40)",91153.1189199815,350072.283248554,6229.03386852611,0,0,343.848894285906,12.9304179047982,5270.30111965867,93162.5514211048,1997.38810546047,91.5063597658673,9.45596456675142,1184.55612975878,37097.0016554144,812.160580978034,36.4375119394413,2.72819999075361,725.114592739372,10173.7105499272,9.99284802245703,22.2975595944724
"9","[40,45)",84580.2361571695,297211.358991187,2057.65541957821,0,0,402.273038601002,9.41648718766947,9410.44052295845,122575.382372768,3827.18961977719,165.904734234047,8.55043898971396,335.958036841306,28925.5478858427,1910.82969283999,39.1504822720512,2.36251644793627,3524.67043115542,39007.0935627028,52.7957683303999,22.3033728605918
"10","[45,50)",82120.3076989903,266040.866663105,7786.46114759826,1396.40953180237,0,582.662009358619,6.42243568752922,7475.00158852543,140831.18776145,936.361670877754,308.4375113894,7.34733495897571,-1614.02213827074,29610.9035701718,1357.4549389346,64.8514974015957,2.08094756009525,9209.8939754422,47012.7998177737,102.96377677226,22.0535121651221
"11","[50,55)",72354.7750102311,160946.789488363,14153.1289387973,0,0,545.333732749385,3.72573361169002,14016.6635538565,127998.748070481,8298.98991482228,433.696349547691,5.96329390471273,-1639.91904280457,57068.0418519208,2854.9634875657,193.362839872344,1.79584701674883,11400.7468084823,130877.694026736,443.451041453625,21.8073926398244
"12","[55,60)",57656.3123386844,104697.119587222,3228.41237656011,0,0,545.458087524133,2.08658337566081,19437.1062282839,140776.064351039,10690.9677343899,733.424597857455,4.71099254664917,-4688.24537024261,25271.318420053,0,131.660212515511,1.22275879959603,22111.2491694166,196176.341391687,1022.05268315759,20.7954994322861
"13","[60,65)",53882.4418746001,49007.9300555739,1892.71541396701,0,2084.77857898874,405.722510033854,1.00472872445163,11241.1262725966,127659.235862222,8279.4601139644,1056.85397331189,3.30666171253662,-4819.90558275812,39940.5977191843,15955.6609023314,330.656682306395,0.980622355863009,31780.1642206489,234995.64261302,1945.4611092502,19.2144455977322
"14","65+",49499.2253716105,43511.3449685236,5363.84534530364,0,0,2129.5953373229,0.492515430511531,3797.52759928736,176830.858775812,10245.9722231497,8654.71229667097,2.00159123099265,-21106.223167396,50358.8704147498,14664.7375599392,2464.73685669059,0.570024226103265,56154.6027066833,1534344.21343857,75096.0993081437,17.367613007165
