"","Age","lx_lost_none","Lx_lost_none","dx_lost_none_to_lost_dad","dx_lost_none_to_lost_mom","dx_lost_none_to_lost_both","dx_lost_none_to_dead","ex_lost_none","lx_lost_dad","Lx_lost_dad","dx_lost_dad_to_lost_both","dx_lost_dad_to_dead","ex_lost_dad","lx_lost_mom","Lx_lost_mom","dx_lost_mom_to_lost_both","dx_lost_mom_to_dead","ex_lost_mom","lx_lost_both","Lx_lost_both","dx_lost_both_to_dead","ex_lost_both"
"1","[0,5)",1e+05,496361.301665556,0,0,0,584.101268162922,46.1253388836886,0,979.057709444018,0,1.15212214927315,9.23752447606011,0,0,NA,0,2.94952162551676,0,0,0,16.2772872010138
"2","[5,10)",99415.8987318371,492609.83570668,0,0,0,45.79495964828,41.4040462825931,-1.15212214927315,1951.04124262724,0,0.18137651443778,9.28205786779773,0,0,NA,0,2.96688555501542,0,2387.20117569316,0.22192366775699,16.3731121188387
"3","[10,15)",99370.1037721888,483657.472684814,0,0,0,75.2944238614283,36.4658953948947,-1.33349866371092,6998.70311764287,0,1.08953825544118,9.26673932556027,0,5135.60414208287,0,0.799496290033514,2.96826505989144,-0.22192366775699,922.243492960578,0.143572251818944,16.356701369066
"4","[15,20)",99294.8093483274,475002.705870897,3812.93643042922,0,0,354.748497103167,31.623197015338,-2.4230369191521,13830.5979965842,0,10.3291703240525,9.20347036570665,-0.799496290033514,6838.19613251863,0,5.10700206740928,2.91885433238971,-0.365495919575934,0,0,16.3601530075902
"5","[20,25)",95127.124420795,467231.025315729,595.239187968886,0,0,665.259470366054,26.9397008876588,3800.18422318602,17778.7572559436,0,25.3140009866924,9.0980975261263,-5.9064983574428,7950.80336582757,0,11.320625021767,2.8606495848144,-0.365495919575934,0,0,16.4213768446408
"6","[25,30)",93866.62576246,443061.548150241,2164.9299794646,2531.6602175475,0,804.320411358549,22.3751914093245,4370.10941016821,34539.256197146,0,62.7015114908742,8.9821036428135,-17.2271233792098,9022.33720351346,0,16.3788755788952,2.80014285188718,-0.365495919575934,2300.14751160008,4.17561758730679,16.5387281208373
"7","[30,35)",88365.7151540894,418680.820607633,2331.14617329008,0,0,860.250214464369,18.0271473756133,6472.33787814194,44001.7340572507,0,90.4089685900075,8.70915062323531,2498.05421858939,16368.7073567577,0,33.6322642955538,2.73298074056881,-4.54111350688272,5183.55829085881,10.6504929576861,16.6659147029361
"8","[35,40)",85174.3187663349,395603.190086958,4283.83181399454,4468.80946225,0,1020.35019087592,13.8673064723028,8713.07508284201,49651.2130904195,0,128.061719479296,8.3423463875044,2464.42195429384,22428.969043795,0,57.849389030346,2.59129458899399,-15.1916064645689,11020.7918413272,28.4251172404101,16.7842288746427
"9","[40,45)",75401.3272992145,321194.087832707,7823.39881176899,0,0,1057.14024191844,9.88756112376861,12868.8451773573,95082.2849048511,2364.06507634094,312.942589774024,7.9285689922436,6875.38202751349,31980.5284669349,0,105.256929940205,2.38909539883564,-43.616723704979,23532.8956705073,77.4533902227958,16.8862508564606
"10","[45,50)",66520.788245527,245762.8388682,3322.88327778308,1648.62592983247,0,1118.22509196226,6.6182548703985,18015.2363230113,118149.609654056,10361.414907684,537.582731096157,7.04378429048553,6770.12509757329,38188.571650364,0,173.758649771038,2.08689320337416,2242.99496241317,60669.40170238,276.046808420544,16.9149846593086
"11","[50,55)",60431.0539459492,193894.874519052,3307.67522027742,0,0,1317.85205533263,4.08305707546811,10439.1219620142,108870.781825539,4907.19422205402,739.965839480502,5.91392659049025,8244.99237763472,43641.6099444611,0,296.620452221814,1.71732744014896,12328.3630616766,103671.741523449,704.629340953339,16.6410116674028
"12","[55,60)",55805.5266703392,103795.841256434,1740.63318489093,2614.90466583561,0,1111.25736104521,2.030608466116,8099.63712075709,122117.913962775,7842.26779579468,1307.41684025041,4.88682649085714,7948.3719254129,40485.5902330437,1553.59109871931,433.446172969297,1.28299549618586,16530.9279427773,164651.209235247,1762.7861198757,16.0440093188645
"13","[60,65)",50338.7314585674,39729.9167020962,2966.66325038172,0,0,626.051666645499,0.903411271578117,690.58566960293,137546.262339892,3164.90650478936,2167.41120864734,3.69825953513473,8576.23931955991,29839.2609655343,8126.4011014557,470.197790723208,0.870378968636543,24164.0007174156,196585.684992478,3097.73606249958,14.9623543794625
"14","65+",46746.0165415402,35948.4291018697,3347.92532849969,0,0,2127.31811381678,0.464401097655691,-1675.06879345204,172255.23425184,10860.4184276191,10193.5380537848,2.22528555105437,-20.3595726190015,43071.9840468431,4640.79105482384,2548.868313584,0.556427003051491,32357.5722611611,1056803.84466488,62538.4201110996,13.6523591636887
