"","Age","lx_lost_none","Lx_lost_none","dx_lost_none_to_lost_dad","dx_lost_none_to_lost_mom","dx_lost_none_to_lost_both","dx_lost_none_to_dead","ex_lost_none","lx_lost_dad","Lx_lost_dad","dx_lost_dad_to_lost_both","dx_lost_dad_to_dead","ex_lost_dad","lx_lost_mom","Lx_lost_mom","dx_lost_mom_to_lost_both","dx_lost_mom_to_dead","ex_lost_mom","lx_lost_both","Lx_lost_both","dx_lost_both_to_dead","ex_lost_both"
"1","[0,5)",1e+05,496672.938633267,367.916945147034,0,0,539.493556343478,45.6507776381421,0,871.741054233255,0,0.94689813955451,10.026285722532,0,0,NA,0,3.08501301851156,0,0,0,19.1678304836073
"2","[5,10)",99092.5894985095,491880.829884504,0,0,0,44.1380162888514,40.9051180448554,366.97004700748,2452.36392005675,0,0.220058339486563,10.072001974536,0,779.074262392261,0,0.0699087876463263,3.10177642379821,0,2067.45849554692,0.185519563294225,19.2719850232914
"3","[10,15)",99048.4514822206,483453.836933556,0,0,0,68.975203520811,35.9757204021422,366.749988667993,8024.82072069329,0,1.14491519177644,10.0518543028699,-0.0699087876463263,4978.78403876478,0,0.710331816866236,3.09533190209735,-0.185519563294225,484.675494485678,0.0691494995380374,19.259837988282
"4","[15,20)",98979.4762786998,476241.966359046,1859.04687432236,0,0,253.723392992033,31.1349345924716,365.605073476217,15696.4271354995,0,8.362452349839,9.97824988708763,-0.780240604512562,4212.48150545427,0,2.24424804191711,3.04742434882817,-0.254669062832262,0,0,19.2687043171901
"5","[20,25)",96866.7060113854,470222.030553484,905.080829447967,579.210523696989,0,454.565993159133,26.4113426174058,2216.28949544873,15070.0880907723,0,14.5683296716536,9.84644797801361,-3.02448864642967,8981.74073074347,0,8.68269377077571,3.01303828220553,-0.254669062832262,0,0,19.3201100029269
"6","[25,30)",94927.8486650813,440985.026994506,1206.24290873382,1410.57549837958,0,537.882968075261,21.7704343979848,3106.80199522505,35513.6179138107,327.177775830476,43.3170494262819,9.74132492936513,567.503341279784,12806.7152255316,0,15.6207435063082,2.9365481385466,-0.254669062832262,2245.13986615125,2.73846598189506,19.413732845966
"7","[30,35)",91773.1472898927,405918.048558256,3161.92592340315,0,0,591.325188996061,17.4038810623429,3942.5500787021,55653.5255732078,0,81.0738316385831,9.43854481457886,1962.45809615306,17162.1625798443,0,25.0011524916244,2.82383558901641,324.184640785748,9552.21641369223,13.9152870788084,19.5095923356889
"8","[35,40)",88019.8961774935,370586.285574532,5320.7542814776,2064.75869327384,0,668.078715326805,13.3589198222996,7023.40217046667,72939.4817455824,1071.46583002827,131.492494887243,8.93552033189009,1937.45694366143,30271.4010103038,435.670117707674,54.5721185195855,2.66808091324888,310.26935370694,10550.0660445822,19.0192536638269,19.5540486481466
"9","[40,45)",79966.3044874152,308700.601422033,4889.50669700353,0,0,721.60062437183,9.63635581982198,11141.1981270288,108956.821739722,3104.23850229123,254.691148105234,8.25994801442196,3511.97340070802,30397.708611598,969.738837036751,71.0559208908509,2.37828286154192,1798.38604777906,31371.0010391467,73.331032828373,19.6217122461527
"10","[45,50)",74355.1971660399,255666.568660404,5540.81751999265,1521.80584921778,0,866.282828380702,6.51033116547104,12671.7751736358,129352.715877688,5663.99824059155,438.28975042134,7.21374637333361,2471.17864278042,33885.4600286435,675.336553619029,114.815137185907,2.08727303933649,5799.03235427867,53818.4741832647,182.354776687832,19.5232691786698
"11","[50,55)",66426.2909684487,176559.666574081,8866.89010680889,0,0,904.005208823765,3.89292873149909,12110.3047026156,118482.691226682,6637.57484366529,606.644609738416,5.95650151072836,3202.83280119326,50455.3764323057,1465.25506992043,258.337161555697,1.7613001446099,11956.0123718014,117447.351704432,601.343555770794,19.2826269418869
"12","[55,60)",56655.3956528161,104143.663000809,2467.88908200912,1331.94148486965,0,826.394780576345,2.06065977969649,13732.9753560207,131170.174162249,9230.99688474632,1040.85399122298,4.8137288624245,1479.24056971713,32976.203256958,791.345268507986,261.670863781342,1.25453347946365,19457.4987296163,179984.147079983,1428.19981022012,18.4970685629444
"13","[60,65)",52029.170305361,44203.2520775111,2451.20760528452,0,1001.9354819244,525.575200145253,0.957596340672846,5929.01356206057,132770.54052076,5623.66300546294,1578.63732028653,3.51431225508311,1758.16592229745,34710.209448013,11890.9691073446,412.703238343957,0.929657833088602,28051.6410726505,215103.240141215,2557.57038624379,17.1960485225561
"14","65+",48050.4520180068,39843.0485882204,4342.01945036109,0,0,2116.69428175923,0.481816011565698,1177.92084159561,175673.562572245,10656.2726279885,9332.80053933624,2.12439404752579,-10545.5064233911,46883.9847206038,9483.92201774193,2490.74972625285,0.566960996329658,44010.6382811387,1294159.27789823,68753.2616172025,15.6500740706879
