"","Age","lx_lost_none","Lx_lost_none","dx_lost_none_to_lost_dad","dx_lost_none_to_lost_mom","dx_lost_none_to_lost_both","dx_lost_none_to_dead","ex_lost_none","lx_lost_dad","Lx_lost_dad","dx_lost_dad_to_lost_both","dx_lost_dad_to_dead","ex_lost_dad","lx_lost_mom","Lx_lost_mom","dx_lost_mom_to_lost_both","dx_lost_mom_to_dead","ex_lost_mom","lx_lost_both","Lx_lost_both","dx_lost_both_to_dead","ex_lost_both"
"1","[0,5)",1e+05,495007.8683822,174.729776905554,0,0,684.043351578024,45.6942117597045,0,1315.99275485277,0,1.81854906190468,8.04053927032999,0,584.029487946972,0,0.80706088503463,2.82872751751207,0,0,0,17.6246896958616
"2","[5,10)",99141.2268715164,490756.297582658,0,0,0,59.1317156410656,41.0258427946914,172.91122784365,2989.28099726363,0,0.360181448046853,8.0828815858459,-0.80706088503463,2003.33633434406,0,0.241383992501686,2.84240499625257,0,656.288210734544,0.0790768209127311,17.746548869281
"3","[10,15)",99082.0951558754,483316.797050909,625.039202116314,0,0,96.4040703234501,36.1060936266129,172.551046395603,9578.47336985785,192.297603529855,1.9105560286203,8.05763488874514,-1.04844487753632,2594.1733154798,0,0.51744294479877,2.82393386372235,-0.0790768209127311,603.626576252932,0.120401482549884,17.7506311147215
"4","[15,20)",98360.6518834356,472255.521580462,1744.37310892391,0,0,394.715274361671,31.2677489618836,603.382088953441,15430.2434791542,0,12.8967317691891,7.96907472263446,-1.56588782233509,6958.87761124651,0,5.81629046152817,2.80058913813304,192.098125226393,248.005766636832,0.207285377826239,17.7622579498703
"5","[20,25)",96221.56350015,469794.509202273,678.059711571466,151.213584413913,0,745.07695386942,26.6159605716871,2334.85846610816,14736.7141117687,0,23.3718909978014,7.84618839303828,-7.38217828386326,5987.88488709284,0,9.49656699771041,2.7418451077888,191.890839848566,1347.57148636505,2.13719921905231,17.8341550419437
"6","[25,30)",94647.2132502952,440353.131074523,743.649401436345,1180.79521811586,0,872.977036529523,22.0321722389406,2989.54628668182,34166.013793208,316.54502488985,67.7323342710012,7.75823475203685,134.334839132339,11756.1577459528,0,23.3059674743148,2.70255379578738,189.753640629514,1184.1270738165,2.34746995269977,17.9624165144675
"7","[30,35)",91849.7915942135,413117.48421023,3074.76108659578,1552.24423922285,0,1010.35976303015,17.7116983730285,3348.91832895732,40731.3015351535,645.337757482938,99.6163796979958,7.48328333517051,1291.82408977388,20497.0290340755,0,50.1295011448893,2.60827503748606,503.951195566664,7763.78678304093,18.9878619863448,18.1291684965705
"8","[35,40)",86212.4265053647,383595.748572443,4818.12922302882,2971.93721575964,493.670171157852,1125.60678603056,13.6180593197711,5678.72527837217,57690.417448072,493.670171157852,169.284267644125,7.15027051900859,2793.93882785184,23691.8888451864,684.61757577024,69.5204546903037,2.42645028919864,1130.30109106326,10700.5154467988,31.3991300627434,18.2712369590504
"9","[40,45)",76803.0831093878,334567.658552062,4115.95200301907,720.726288991188,0,1206.70794535665,9.75670420089591,9833.90006259902,84578.3910945596,680.842734404689,305.054639713197,6.6449729379949,5011.73801315094,32498.5334115823,562.538514809979,117.214672362279,2.21139932959682,2770.85987908646,16389.6044417967,59.1135018452213,18.428012778323
"10","[45,50)",70759.6968720209,260182.550331304,3123.73917980174,2271.98816796401,0,1268.20370084784,6.32639726562851,12963.9546915002,104552.006128586,5849.69720185514,509.616194224019,5.85386018396076,5052.71111496987,43676.0343943064,605.78226457182,212.889405483519,1.9011973885639,3955.1276264559,49947.5732083039,243.458668194622,18.5867356769527
"11","[50,55)",64095.7658234073,187626.114474188,4349.89738438994,1275.34815325987,691.30063482089,1334.53839134425,3.60755032842981,9728.38047522278,118084.071957236,6815.04734333295,839.902952074763,4.84307301745036,6506.02761287854,44595.4576722743,2691.47434504639,317.196518778867,1.46551099718009,10167.1484246882,94759.1371463018,673.998429306023,18.4936748325251
"12","[55,60)",56444.6812595924,87576.1823555433,4280.87966129489,1629.52680304351,315.870319256345,945.103494632097,1.5898869167986,6423.32756420501,125838.044944756,6469.67858510283,1358.01736084048,3.66649332188579,4772.70490231315,41126.7950671864,2344.8710742109,443.83160689986,1.00798873131395,19690.9723185825,171267.532320015,1848.28270608459,18.0789919430818
"13","[60,65)",49273.3009813655,40507.3194947868,1012.75767428012,841.18198660384,424.375764680385,639.947030437962,0.619694409253436,2876.51127955658,95147.6412301327,5873.43496448032,1503.17155560581,2.34918208879307,3613.5290242459,25994.7899130284,4254.40449519536,410.6736466194,0.566891093367371,26973.1095910679,236937.827487052,3743.21631225871,17.0130732086629
"14","65+",46355.0385253632,10763.9931068721,2535.125612696,284.705637772592,611.149604717092,632.164153653169,0.140817286979736,-3487.33756624943,99215.3341883993,15169.2319580464,5826.86900148451,1.29796015739536,-210.367130965019,20907.7640315044,2786.89932984353,1227.90295595024,0.273520670117237,33782.1085031653,1170663.37363905,68752.498581295,15.3149150696827
