"","Age","lx_lost_none","Lx_lost_none","dx_lost_none_to_lost_dad","dx_lost_none_to_lost_mom","dx_lost_none_to_lost_both","dx_lost_none_to_dead","ex_lost_none","lx_lost_dad","Lx_lost_dad","dx_lost_dad_to_lost_both","dx_lost_dad_to_dead","ex_lost_dad","lx_lost_mom","Lx_lost_mom","dx_lost_mom_to_lost_both","dx_lost_mom_to_dead","ex_lost_mom","lx_lost_both","Lx_lost_both","dx_lost_both_to_dead","ex_lost_both"
"1","[0,5)",1e+05,498446.078125,0,0,0,343.180258274078,47.4775361648849,0,0,NA,0,10.4815850013345,0,0,NA,0,2.58616107730857,0,0,0,25.3910045484642
"2","[5,10)",99656.8197417259,498190.5,0,0,0,35.1984977722168,42.6394051610183,0,0,NA,0,10.517679541116,0,0,NA,0,2.59506681951018,0,0,0,25.4784413839857
"3","[10,15)",99621.6212439537,498026.8203125,0,0,0,39.3354697227478,37.6536453057516,0,0,NA,0,10.5213961560239,0,0,NA,0,2.59598383395152,0,0,0,25.4874446583971
"4","[15,20)",99582.285774231,486451.211420635,0,0,0,100.709162866577,32.6673598678077,0,11223.3042043651,0,2.32354148675596,10.5255522064418,0,0,NA,0,2.59700927197685,0,0,0,25.4975124387043
"5","[20,25)",99481.5766113644,491956.380476036,0,0,0,128.089471664347,27.8112191628455,-2.32354148675596,2758.23324923094,0,0.718154400760408,10.4236338468949,0,2360.23783723309,0,0.614529315141414,2.59969921406732,0,0,0,25.5239223682534
"6","[25,30)",99353.4871397,432569.683782438,14326.674200352,0,0,111.608848654797,22.895689383226,-3.04169588751636,42438.0764564714,0,10.9495996367911,10.409449754684,-0.614529315141414,18103.4441324785,0,4.67093426114574,2.57932897198589,0,3320.39719111252,0.856707535156529,25.5571720900934
"7","[30,35)",84915.2040906932,428055.2883654,4518.98392290605,0,0,129.94797450659,18.5656192564602,14312.6829048277,52364.675815383,0,15.8967398437899,9.99517789595564,-5.28546357628716,13830.0286393774,0,4.19848617200376,2.40020422200109,-0.856707535156529,1497.03061733929,0.45446488289038,25.5566995843023
"8","[35,40)",80266.2721932806,422860.119293527,0,4342.35880035368,0,176.358158678868,14.273140563224,18815.77008789,36083.1735410888,0,15.0488583686447,9.48180585751382,-9.48394974829091,23066.7041645027,0,9.62020603891021,2.26425358013278,-1.31117241804691,12859.2295633819,5.36307384961193,25.5804123469918
"9","[40,45)",75747.555234248,354067.724405439,0,4027.21662315122,0,223.088214476369,10.0257828646649,18800.7212295213,104624.459064504,0,65.9209584902158,9.13662462028653,4323.25464456647,26479.6104892011,0,16.6840652702397,2.0356647461311,-6.67424626765884,8436.62791585585,5.31568434008005,25.5037433185302
"10","[45,50)",71497.2503966204,259582.776666593,9169.91799247156,6719.10026495674,0,270.379616502575,6.4647890540293,18734.8002710311,151200.137196588,0,157.489012311699,8.10386025966041,8333.78720244745,27310.3417164673,0,28.4462621699161,1.77340706174196,-11.9899306077389,53494.6272328513,55.719632026064,25.4986216056006
"11","[50,55)",55337.8525226896,188514.701564543,7551.96988953163,10564.3296736204,0,317.028238654034,3.85087774301317,27747.229251191,152028.038932211,0,255.668024873933,6.6039827711857,15024.4412052343,53221.3280102309,0,89.503172632588,1.50411071553371,-67.7095626338028,94523.7752430151,158.962169674405,25.0861594620753
"12","[55,60)",36904.5247208835,118733.461104256,23117.1386589729,0,0,289.858980689805,1.94436403289266,35043.5311158487,178769.504981588,2361.37467060741,436.422437369061,5.09602033761489,25499.267706222,25377.6421229459,2442.90354030363,61.9533652068707,0.969386794431354,-226.671732308208,160455.39960371,391.712985899302,24.3257868065263
"13","[60,65)",13497.5270812208,31968.8734067588,0,7278.78841283765,0,123.206899902229,0.731969557538798,55362.8726668451,116205.774371897,0,447.852917083791,3.29723634238564,22994.4108007115,21417.4289400044,0,82.5420085969101,0.717058167814406,4185.89349270353,306411.274843839,1180.89814389949,22.9539486462309
"14","65+",6095.53176848094,38329.9975653624,0,0,0,1653.09244895559,0.406873427360212,54915.0197497613,200463.122320122,9607.06123627379,8645.55426168138,2.12791867514815,30190.6572049523,47449.3416784155,0,2046.39064489231,0.503675384840848,3004.99534880404,1898102.09263532,81861.16451825,20.1483786319886
