"","Age","lx_lost_none","Lx_lost_none","dx_lost_none_to_lost_dad","dx_lost_none_to_lost_mom","dx_lost_none_to_lost_both","dx_lost_none_to_dead","ex_lost_none","lx_lost_dad","Lx_lost_dad","dx_lost_dad_to_lost_both","dx_lost_dad_to_dead","ex_lost_dad","lx_lost_mom","Lx_lost_mom","dx_lost_mom_to_lost_both","dx_lost_mom_to_dead","ex_lost_mom","lx_lost_both","Lx_lost_both","dx_lost_both_to_dead","ex_lost_both"
"1","[0,5)",1e+05,498264.703125,0,0,0,379.142685890198,48.6891117804826,0,0,NA,0,7.22112417793985,0,0,NA,0,1.82349027998275,0,0,0,23.4046484051494
"2","[5,10)",99620.8573141098,498031.7265625,0,0,0,28.142219543457,43.872804373941,0,0,NA,0,7.24860659027,0,0,NA,0,1.83043018442416,0,0,0,23.4937226520482
"3","[10,15)",99592.7150945663,497855.3671875,0,0,0,53.8690929412841,38.8845168298085,0,0,NA,0,7.25065473517847,0,0,NA,0,1.83094738538077,0,0,0,23.5003609690587
"4","[15,20)",99538.8460016251,478104.31316283,0,0,0,150.704595570114,33.9039413073223,0,9793.54472263925,0,3.08705057868931,7.25457855358693,0,9462.22805203127,0,2.98261532580632,1.83193823452724,0,0,0,23.5130785997202
"5","[20,25)",99388.1414060549,487483.830235587,0,0,0,294.354846929536,29.1466565236778,-3.08705057868931,5479.5913002632,0,3.30871335290424,7.16747870950473,-2.98261532580632,3231.35190164965,0,1.95117055252043,1.73961761314303,0,0,0,23.5501719088314
"6","[25,30)",99093.7865591254,472508.642035903,0,0,0,313.534057555892,24.3148102598554,-6.39576393159355,18660.1277808325,0,12.3819652322704,7.13384866587991,-4.93378587832675,3429.22237076462,0,2.27546738517762,1.71226518234757,0,0,0,23.6213838288825
"7","[30,35)",98780.2525015695,402604.559274507,10519.1792379059,2958.25750928417,0,299.405259285179,19.6109260038755,-18.7777291638639,62764.8845731071,0,46.6764126404303,6.96860180808266,-7.20925326350437,13951.1893066077,0,10.3750922722002,1.68323084194703,0,13568.9137207786,10.0908050770929,23.6998860322895
"8","[35,40)",85003.4104950943,425257.90311274,0,0,0,439.218666770015,15.5919667205866,10453.7250961016,25225.5290363752,0,26.0536562655903,6.35662943874429,2940.67316374846,18191.7494488409,0,18.7889651918257,1.54770370023669,-10.0908050770929,22053.4355895437,22.7774263721792,23.6502681061925
"9","[40,45)",84564.1918283243,376048.109826328,0,0,0,522.587597408116,11.3280570218819,10427.671439836,53967.5203474431,0,74.9977358202091,6.13182851482241,2921.88419855664,37957.5989024774,0,52.7490230518315,1.36986195636666,-32.8682314492721,19847.7787362518,27.5821171085156,23.5474242665344
"10","[45,50)",84041.6042309161,260490.792209611,0,0,0,576.233240009605,7.53837142879339,10352.6737040158,147726.716082384,0,326.787152521049,5.61938869726959,2869.1351755048,30183.1225348801,0,66.7682659503968,0.98891728285634,-60.4503485577878,45133.9941731253,99.8411785550824,23.5074599624345
"11","[50,55)",83465.3709909065,207117.053224862,0,0,0,738.34463203739,4.91256468643504,10025.8865514948,109212.570564954,24950.3435298614,389.328227551081,4.14522704392593,2802.36690955441,21754.4550818359,4044.2534074993,77.5517268253793,0.685948998211143,-160.29152711287,138622.194565848,494.169609142791,23.299521403808
"12","[55,60)",82727.0263588691,174831.824698018,12069.1441100358,0,0,946.129394735432,2.80772130348686,-15313.7852059177,128292.752463714,8459.23276978993,694.276024671684,3.06332597204249,-1319.43822477027,33760.5164946049,1615.1652815115,182.70024403262,0.467926166895112,28340.135801105,129420.507906163,700.379047253623,22.2508833090794
"13","[60,65)",69711.7528540979,55372.6405306419,0,0,0,485.261080830151,0.982612426793856,-12398.1498903435,81637.3500953625,9491.17394722637,715.433260248133,1.75158728358487,-3117.30375031439,10427.5939045826,5205.71335284754,91.3827738772096,0.113453840668165,37714.1548051528,302883.618594413,2654.33670340388,21.4536861562582
"14","65+",69226.4917732677,34939.7128622373,0,0,0,1723.52709667195,0.397204508053706,-22604.757097818,79351.8308269108,0,3914.3146693837,0.902093988323227,-8414.39987703914,0,NA,0,0,49756.7054018229,1668934.39722882,82326.1961978116,18.9729168307405
