"","Age","lx_lost_none","Lx_lost_none","dx_lost_none_to_lost_dad","dx_lost_none_to_lost_mom","dx_lost_none_to_lost_both","dx_lost_none_to_dead","ex_lost_none","lx_lost_dad","Lx_lost_dad","dx_lost_dad_to_lost_both","dx_lost_dad_to_dead","ex_lost_dad","lx_lost_mom","Lx_lost_mom","dx_lost_mom_to_lost_both","dx_lost_mom_to_dead","ex_lost_mom","lx_lost_both","Lx_lost_both","dx_lost_both_to_dead","ex_lost_both"
"1","[0,5)",1e+05,498350.3828125,0,0,0,362.157939434051,48.0420750492917,0,0,NA,0,8.87772718237925,0,0,NA,0,2.19785609278323,0,0,0,24.5270403767177
"2","[5,10)",99637.842060566,498105.3515625,0,0,0,31.5537576675415,43.2150773246402,0,0,NA,0,8.9099952871865,0,0,NA,0,2.20584469721951,0,0,0,24.6161894453057
"3","[10,15)",99606.2883028984,497942.8515625,0,0,0,46.7355589866638,38.2280286219818,0,0,NA,0,8.91281862044142,0,0,NA,0,2.20654366893477,0,0,0,24.6239896409321
"4","[15,20)",99559.5527439117,482206.025521893,0,0,0,154.657566738142,33.2445156982006,0,10505.6510464505,0,3.36946935925477,8.91700239809799,0,4739.6671816563,0,1.52014980043071,2.20757944543752,0,0,0,24.6355484195926
"5","[20,25)",99404.8951771736,489363.644005965,0,0,0,260.949637633178,28.4467091898368,-3.36946935925477,4174.27705775324,0,2.22590316821312,8.82562441842529,-1.52014980043071,2812.72737378169,0,1.4998666082769,2.16344006133468,0,0,0,24.6750909222512
"6","[25,30)",99143.9455395404,451897.084717914,7232.661388273,0,0,224.875231630804,23.5863387750509,-5.59537252746789,30649.5034585384,0,15.2519554179251,8.8070809412983,-3.02001640870761,10835.892988073,0,5.39220992571923,2.14084358686563,0,1676.66727297443,0.834351347084421,24.7409705233232
"7","[30,35)",91686.4089196366,415802.456896422,7267.15466098446,1358.0168353468,0,232.730119318025,19.0753548003391,7211.81406032761,57068.1918858832,0,31.9418196948605,8.5190825359394,-8.41222633442684,13867.1712949925,0,7.76163867374895,2.03660048517608,-0.834351347084421,7035.72679770178,3.93798908582699,24.7856500212395
"8","[35,40)",82828.5073039873,423578.53611348,0,2160.03655463421,0,299.873693100096,14.9122911377582,14447.0269016172,30599.216607414,0,21.6628070303749,7.96424741428424,1341.84297033862,20596.6209857369,0,14.5814395059932,1.90168560939834,-4.77234043291141,17453.3762933689,12.3561700131944,24.7837679819784
"9","[40,45)",80368.597056253,364077.734059263,0,2101.76005837125,0,357.985295858017,10.6545624354236,14425.3640945868,80343.1277441236,0,78.9986743626481,7.68109356482265,3487.29808546684,31915.2809430018,0,31.3812140154456,1.69882490406496,-17.1285104461058,13864.1931911117,13.6321912521707,24.6940423092347
"10","[45,50)",77908.8517020237,259693.705167563,4774.05795898564,3498.10915686209,0,410.622254734899,6.98372521805072,14346.3654202242,149352.232148721,0,236.152625551811,6.89730157043458,5557.67692982265,28649.1288879194,0,45.2994033588827,1.38080717000819,-30.7607016982765,49432.9181707967,78.1622962494265,24.6739807186854
"11","[50,55)",69226.0623314411,197516.561801314,3826.1764225002,5352.37689079721,0,502.74054633265,4.36224635828472,18884.270753658,130835.309597823,12290.7863271241,333.016200904592,5.412538166112,9010.48668332586,37693.2323410499,1992.23928218969,95.9408975498723,1.09645454288056,-108.922997947703,116148.435322313,295.633577747065,24.3603266675421
"12","[55,60)",59544.768471811,144281.956340917,18002.703618641,0,0,544.974240839746,2.35604950127383,10086.6446481295,155318.603338798,5160.23383641225,586.661285232704,4.11595771177863,12274.6833943835,29183.0302184656,2058.59054711116,110.228611685392,0.716982836165398,13878.469033619,145955.08978932,551.293912779268,23.4598630716041
"13","[60,65)",40997.0906123303,44502.2896917136,0,3414.92374351047,0,267.803837229681,0.865943221613645,22342.4531451256,98087.910153098,5065.49941664915,590.268925639821,2.54200500603568,10105.864235587,15619.9955455851,2778.32205991736,93.9972925796921,0.420175225820341,20545.9995043631,305273.515547103,1837.0609565137,22.3545735648496
"14","65+",37314.3630315902,36888.9246752269,0,0,0,1684.31207910061,0.404473740454578,16686.6848028366,140838.695199322,4820.74911620534,6430.5565320068,1.5442454435726,10648.4686266004,23872.8615180611,0,1090.01141593508,0.26175730733753,26552.760024416,1795864.11528708,81997.3921287192,19.6910016340521
