"","Age","lx_lost_none","Lx_lost_none","dx_lost_none_to_lost_dad","dx_lost_none_to_lost_mom","dx_lost_none_to_lost_both","dx_lost_none_to_dead","ex_lost_none","lx_lost_dad","Lx_lost_dad","dx_lost_dad_to_lost_both","dx_lost_dad_to_dead","ex_lost_dad","lx_lost_mom","Lx_lost_mom","dx_lost_mom_to_lost_both","dx_lost_mom_to_dead","ex_lost_mom","lx_lost_both","Lx_lost_both","dx_lost_both_to_dead","ex_lost_both"
"1","[0,5)",1e+05,490908.761326154,0,0,0,1286.69135016296,41.3751234323725,0,3222.7542988461,0,8.44696694518917,8.92914979853369,0,0,NA,0,3.12055874795891,0,0,0,14.3553014976974
"2","[5,10)",98713.308649837,485050.348154794,0,0,0,106.831595185756,36.9445163730781,-8.44696694518917,3602.77970264858,0,0.793506703378305,9.01366113855826,0,4573.03620505722,0,1.00720420980415,3.16150442918999,0,0,0,14.5436612263791
"3","[10,15)",98606.4770546513,465672.059307847,2885.30501248512,0,0,156.078493017473,32.0656590365477,-9.24047364856748,21922.1967470959,0,7.34762449996453,8.98705159957459,-1.00720420980415,5134.72050755658,0,1.72099532893714,3.11860630925677,0,0,0,14.5596853558308
"4","[15,20)",95565.0935491487,453522.22170811,0,0,0,818.154992631439,27.388513992015,2868.71691433659,15099.8101145896,0,27.2400875672842,8.77941395113219,-2.72819953874129,21655.7884898004,0,39.0670856337971,3.07167309192603,0,0,0,14.5841137085621
"5","[20,25)",94746.9385565172,465527.603509359,3033.60446070438,1180.97754162803,0,1492.09255588936,22.987562433151,2841.47682676931,15483.720675626,0,49.6278720819338,8.70422228336373,-41.7952851725384,2963.04300251478,0,9.49704029042284,2.8775198739485,0,0,0,14.7163498966902
"6","[25,30)",89040.2639982955,396441.483382551,0,3074.7725114101,0,1313.21578410665,18.5095471048836,5825.45341539176,66862.4426477776,0,221.482409711042,8.68357996198419,1129.68521616507,12764.7224071715,0,42.2832514948039,2.89315207928205,0,0,0,14.9541558567974
"7","[30,35)",84652.2757027787,373633.428130298,2302.61957123841,0,0,1482.40525520477,14.6199221788949,5603.97100568072,32185.9276896011,0,127.698928303777,8.12046339985394,4162.17447608036,43011.2610829572,0,170.648862392808,2.80628060548018,0,18760.008097144,74.4310666474739,15.2039214386666
"8","[35,40)",80867.2508763355,301771.511635916,17281.2929670334,7535.90426523061,2455.5650720769,1471.65408972782,10.8764180996472,7778.89164861535,92760.6983504965,2455.5650720769,452.367621958352,7.93549785653959,3991.52561368755,41344.5756770372,2455.5650720769,201.625771608891,2.3978559586805,-74.4310666474739,21526.4018365499,104.978157574078,15.3059705750218
"9","[40,45)",52122.8344822668,239312.149176108,0,0,0,1450.14116192464,7.80432372052482,22152.2519216135,151374.589159115,0,917.272789387407,7.10457335470597,8870.23903523237,48612.9103776312,0,294.575860783731,1.99937462975337,7187.28599200916,5861.3512871462,35.5175731581257,15.4456264408785
"10","[45,50)",50672.6933203422,214353.698189976,0,9245.57908692696,0,1747.76681498228,5.31377003738618,21234.9791322261,116284.222209864,10169.7411120563,948.141816075888,5.59593190084715,8575.66317444864,45787.6958914982,0,373.337227626164,1.50619802673507,7151.76841885103,53375.563396162,435.206106647698,15.8541767371379
"11","[50,55)",39679.3474184329,167189.639226861,8398.76467842985,0,0,1915.75727794881,2.98724733549349,10117.0962040939,111966.549839516,17323.1050257196,1282.97862076737,4.44684321902825,17447.9050337494,17547.4133224054,5596.98121895325,201.068588562234,1.02469331629238,16886.3034242597,112844.256986217,1293.03590578799,15.8801426816725
"12","[55,60)",29364.8254620543,54687.7268567207,0,2487.20963944865,0,936.571221750799,1.05906037492247,-90.2227639632092,138075.183840815,4359.54032984232,2364.64835998876,3.3000567383221,11649.8552262339,28200.2625476093,0,482.952133247461,0.864332811685389,38513.3537631445,160745.803317355,2752.90091684891,15.3977372950259
"13","[60,65)",25941.0446008548,16877.0772081922,2666.59709241202,0,0,436.025218520396,0.403860259156567,-6814.41145379429,65947.9571378843,2782.62524767028,1703.78863989921,1.70195941569786,13654.1127324351,20937.4828238145,2597.79231238983,540.927224003537,0.55500731639451,40119.9931761379,239451.381267609,6186.31055331905,14.5734698024973
"14","65+",22838.4222899224,12564.6354243577,0,0,0,881.053757347993,0.19621915715597,-8634.22824895175,58126.1474394936,9506.2466664115,4075.90502008915,0.907743302857045,10515.3931960418,19522.9624608379,0,1368.9835677476,0.304885825165045,39314.100182879,822965.383581561,57707.7423166805,12.8520699949532
