"","Age","lx_lost_none","Lx_lost_none","dx_lost_none_to_lost_dad","dx_lost_none_to_lost_mom","dx_lost_none_to_lost_both","dx_lost_none_to_dead","ex_lost_none","lx_lost_dad","Lx_lost_dad","dx_lost_dad_to_lost_both","dx_lost_dad_to_dead","ex_lost_dad","lx_lost_mom","Lx_lost_mom","dx_lost_mom_to_lost_both","dx_lost_mom_to_dead","ex_lost_mom","lx_lost_both","Lx_lost_both","dx_lost_both_to_dead","ex_lost_both"
"1","[0,5)",1e+05,494973.230122119,0,0,0,459.594902340785,46.5348172492461,0,0,NA,0,8.37543902242012,0,2929.28550288091,0,2.71991413412938,3.18805572558324,0,0,0,22.0003131370278
"2","[5,10)",99540.4050976592,492008.557255724,979.709095329479,0,0,37.4382020165876,41.7782342109862,0,1310.68139065363,0,0.0997331326031555,8.41434022644985,-2.71991413412938,4268.63635362224,0,0.324811566354926,3.17343430193612,0,0,0,22.1024974724126
"3","[10,15)",98523.2578003131,485107.892730326,2656.13493053146,0,0,50.1689148383863,36.8493121498246,979.609362196876,9161.11657788154,0,0.9474248601347,8.40436915589388,-3.04472570048431,3124.26412929228,0,0.323105320247227,3.13174083855781,0,0,0,22.1109074045875
"4","[15,20)",95816.9539549433,481660.553291787,370.277062870753,0,0,140.403535218657,31.9903823965622,3634.7968678682,10415.2120726815,0,3.03602316000879,8.31659616687212,-3.36783102073154,4280.57899822343,0,1.24778419163842,3.10194448229693,0,567.819699808269,0.165518834114658,22.1223420497438
"5","[20,25)",95306.2733568539,455185.893964425,2113.87996030006,1931.84227862553,0,242.744827032847,27.1866615168799,4002.03790757894,31916.6142684944,0,17.0207229899028,8.22384543551461,-4.61561521236996,8270.58163256256,0,4.41059561484201,3.06336344483525,-0.165518834114658,537.121072017658,0.286439811627409,22.1488950726813
"6","[25,30)",91017.8062908955,450389.612244542,1501.90801557238,0,0,370.191858263299,22.663233716532,6098.8971448891,26929.6701666635,0,22.1344906063288,7.92354245103668,1922.81606779831,15812.7839629338,0,12.9971112130717,2.98803517650137,-0.451958645742067,1106.23050086074,0.909251709293038,22.2026152506545
"7","[30,35)",89145.7064170598,427215.499364157,1015.67613130702,1755.98602726515,0,488.766064946933,18.1902518605865,7578.67066985515,35400.1066230813,0,40.5003349331125,7.6831479150658,1909.81895658524,24616.0399751526,0,28.1625666932466,2.84002240738556,-1.3612103550351,4594.36966260878,5.25629801411007,22.2828462309196
"8","[35,40)",85885.2781935407,382788.570944434,2600.30196782293,2135.82584308735,0,587.840706142016,13.9383963073779,8553.84646622906,63432.9518134294,0,97.412707737535,7.36626353891859,3637.64241715714,34727.8753165623,954.147059449344,53.3308993487772,2.60531289519252,-6.61750836914517,7597.26598807473,11.6669685099529,22.3638485556367
"9","[40,45)",80561.3096764884,360592.943809958,1682.32541327513,2626.88501407332,0,713.175225123709,10.1125464556809,11056.7357263144,75865.0906834706,0,150.044819389837,6.77125246542196,4765.99030144637,29193.6558585314,643.379818455479,57.7387673455559,2.26855502271166,935.862582570246,18666.9424605403,36.9191941223437,22.4581890992997
"10","[45,50)",75538.9240240162,275868.231093523,7340.97653055183,3261.91092174327,713.047037467293,776.557505063737,6.47100381984295,12589.0163201997,109999.941631511,1893.47148513961,309.645224069181,6.05126879988565,6691.75672971866,48449.761700925,2862.19288799898,136.384047986474,1.9881471925008,1542.32320690338,44312.2374490408,124.737090678459,22.4877152087786
"11","[50,55)",63446.4320291901,183668.564114529,6040.1771490631,474.259033391787,0,749.857337478896,3.65933647379572,17726.8761415428,125394.531873547,5954.442473949,511.94394783028,4.97936151305958,6955.09071547648,49705.3262847183,1525.98963572529,202.930228186122,1.50642075583025,6886.29752683081,111801.335539705,456.447472100407,22.3402213719521
"12","[55,60)",56182.1385092563,110216.808074925,4926.95449038678,3004.15523434767,0,670.413935068711,1.76190748757306,17300.6668688266,134712.854127952,8428.33091746145,819.415624691856,3.73514689637937,5700.42988495685,39180.0006985565,3340.3210914289,238.319534952037,1.00357983448379,13910.2821644047,174774.477723567,1063.09779249443,21.600299538347
"13","[60,65)",47580.6148494531,30837.9650415671,3444.94247395232,308.833573173848,327.149388356265,272.518841553837,0.595836197816585,12979.8748170601,113588.143354554,3870.58400144041,1003.79221519674,2.35880121813253,5125.94449292359,29087.4234169351,3247.04792182927,257.049092658492,0.600724382523417,24615.8363808006,268673.116624444,2374.29695508312,20.3325263569303
"14","65+",43227.1705724169,22967.4028725968,726.18711610375,1247.79579878713,721.949420630657,1157.04062140993,0.265842936359743,11550.4410743753,99416.9876580922,18231.1832199052,5008.38052158994,1.15073106304942,1930.68105160967,25159.3587274271,5081.8075870272,1267.46590451419,0.291214371869949,29686.3207373434,1567400.39698212,78961.7328255328,18.1423353043679
