"sex","race","x","name","value"
"all","all","[0,1)","se_pr_lost_none",0
"all","all","[0,1)","se_pr_lost_mom",0
"all","all","[0,1)","se_pr_lost_dad",0
"all","all","[0,1)","se_pr_lost_both",0
"all","all","[0,1)","se_mx_lost_none_to_lost_mom",0
"all","all","[0,1)","se_mx_lost_none_to_lost_dad",0
"all","all","[0,1)","se_mx_lost_none_to_lost_both",0
"all","all","[0,1)","se_mx_lost_dad_to_lost_both",NA
"all","all","[0,1)","se_mx_lost_mom_to_lost_both",NA
"all","all","[0,1)","se_Lx_lost_mom",0
"all","all","[0,1)","se_Lx_lost_dad",0
"all","all","[0,1)","se_Lx_lost_both",0
"all","all","[0,1)","se_Lx_lost_none",0
"all","all","[0,1)","se_dx_lost_mom_to_dead",0
"all","all","[0,1)","se_dx_lost_dad_to_dead",0
"all","all","[0,1)","se_dx_lost_both_to_dead",0
"all","all","[0,1)","se_dx_lost_none_to_dead",0
"all","all","[1,2)","se_pr_lost_none",0.00363211739673475
"all","all","[1,2)","se_pr_lost_mom",0.00311662505628853
"all","all","[1,2)","se_pr_lost_dad",0.0018505687175659
"all","all","[1,2)","se_pr_lost_both",0
"all","all","[1,2)","se_mx_lost_none_to_lost_mom",0
"all","all","[1,2)","se_mx_lost_none_to_lost_dad",0
"all","all","[1,2)","se_mx_lost_none_to_lost_both",0
"all","all","[1,2)","se_mx_lost_dad_to_lost_both",0
"all","all","[1,2)","se_mx_lost_mom_to_lost_both",0
"all","all","[1,2)","se_Lx_lost_mom",309.932048263615
"all","all","[1,2)","se_Lx_lost_dad",184.029372391298
"all","all","[1,2)","se_Lx_lost_both",0
"all","all","[1,2)","se_Lx_lost_none",361.195063240772
"all","all","[1,2)","se_dx_lost_mom_to_dead",0.0986273549576378
"all","all","[1,2)","se_dx_lost_dad_to_dead",0.0585622891700117
"all","all","[1,2)","se_dx_lost_both_to_dead",0
"all","all","[1,2)","se_dx_lost_none_to_dead",0.114940400357997
"all","all","[2,3)","se_pr_lost_none",0
"all","all","[2,3)","se_pr_lost_mom",0
"all","all","[2,3)","se_pr_lost_dad",0
"all","all","[2,3)","se_pr_lost_both",0
"all","all","[2,3)","se_mx_lost_none_to_lost_mom",0
"all","all","[2,3)","se_mx_lost_none_to_lost_dad",0.000945430287729846
"all","all","[2,3)","se_mx_lost_none_to_lost_both",0
"all","all","[2,3)","se_mx_lost_dad_to_lost_both",NA
"all","all","[2,3)","se_mx_lost_mom_to_lost_both",NA
"all","all","[2,3)","se_Lx_lost_mom",0
"all","all","[2,3)","se_Lx_lost_dad",0
"all","all","[2,3)","se_Lx_lost_both",0
"all","all","[2,3)","se_Lx_lost_none",0
"all","all","[2,3)","se_dx_lost_mom_to_dead",0
"all","all","[2,3)","se_dx_lost_dad_to_dead",0
"all","all","[2,3)","se_dx_lost_both_to_dead",0
"all","all","[2,3)","se_dx_lost_none_to_dead",0
"all","all","[3,4)","se_pr_lost_none",0
"all","all","[3,4)","se_pr_lost_mom",0
"all","all","[3,4)","se_pr_lost_dad",0
"all","all","[3,4)","se_pr_lost_both",0
"all","all","[3,4)","se_mx_lost_none_to_lost_mom",0
"all","all","[3,4)","se_mx_lost_none_to_lost_dad",0
"all","all","[3,4)","se_mx_lost_none_to_lost_both",0
"all","all","[3,4)","se_mx_lost_dad_to_lost_both",NA
"all","all","[3,4)","se_mx_lost_mom_to_lost_both",NA
"all","all","[3,4)","se_Lx_lost_mom",0
"all","all","[3,4)","se_Lx_lost_dad",0
"all","all","[3,4)","se_Lx_lost_both",0
"all","all","[3,4)","se_Lx_lost_none",0
"all","all","[3,4)","se_dx_lost_mom_to_dead",0
"all","all","[3,4)","se_dx_lost_dad_to_dead",0
"all","all","[3,4)","se_dx_lost_both_to_dead",0
"all","all","[3,4)","se_dx_lost_none_to_dead",0
"all","all","[4,5)","se_pr_lost_none",0.00521678953420932
"all","all","[4,5)","se_pr_lost_mom",0.00451534474101365
"all","all","[4,5)","se_pr_lost_dad",0.00282063473475803
"all","all","[4,5)","se_pr_lost_both",0
"all","all","[4,5)","se_mx_lost_none_to_lost_mom",0
"all","all","[4,5)","se_mx_lost_none_to_lost_dad",0.00074199676376612
"all","all","[4,5)","se_mx_lost_none_to_lost_both",0
"all","all","[4,5)","se_mx_lost_dad_to_lost_both",0
"all","all","[4,5)","se_mx_lost_mom_to_lost_both",0
"all","all","[4,5)","se_Lx_lost_mom",448.753092293162
"all","all","[4,5)","se_Lx_lost_dad",280.32600655161
"all","all","[4,5)","se_Lx_lost_both",0
"all","all","[4,5)","se_Lx_lost_none",518.465492580195
"all","all","[4,5)","se_dx_lost_mom_to_dead",0.0602018563884147
"all","all","[4,5)","se_dx_lost_dad_to_dead",0.0376067514145016
"all","all","[4,5)","se_dx_lost_both_to_dead",0
"all","all","[4,5)","se_dx_lost_none_to_dead",0.0695540279559144
"all","all","[5,6)","se_pr_lost_none",0.00442061241999391
"all","all","[5,6)","se_pr_lost_mom",0.00390264838507117
"all","all","[5,6)","se_pr_lost_dad",0.00187238861205813
"all","all","[5,6)","se_pr_lost_both",0.000889424307415663
"all","all","[5,6)","se_mx_lost_none_to_lost_mom",0
"all","all","[5,6)","se_mx_lost_none_to_lost_dad",0
"all","all","[5,6)","se_mx_lost_none_to_lost_both",0
"all","all","[5,6)","se_mx_lost_dad_to_lost_both",0
"all","all","[5,6)","se_mx_lost_mom_to_lost_both",0
"all","all","[5,6)","se_Lx_lost_mom",387.810072672907
"all","all","[5,6)","se_Lx_lost_dad",186.061128768828
"all","all","[5,6)","se_Lx_lost_both",88.3829828522018
"all","all","[5,6)","se_Lx_lost_none",439.280676787215
"all","all","[5,6)","se_dx_lost_mom_to_dead",0.0495217889242999
"all","all","[5,6)","se_dx_lost_dad_to_dead",0.0237592589650924
"all","all","[5,6)","se_dx_lost_both_to_dead",0.0112861519845009
"all","all","[5,6)","se_dx_lost_none_to_dead",0.0560943783755925
"all","all","[6,7)","se_pr_lost_none",0.00425500333971187
"all","all","[6,7)","se_pr_lost_mom",0.00219112850319162
"all","all","[6,7)","se_pr_lost_dad",0.00363396722030539
"all","all","[6,7)","se_pr_lost_both",0
"all","all","[6,7)","se_mx_lost_none_to_lost_mom",0
"all","all","[6,7)","se_mx_lost_none_to_lost_dad",0
"all","all","[6,7)","se_mx_lost_none_to_lost_both",0
"all","all","[6,7)","se_mx_lost_dad_to_lost_both",0
"all","all","[6,7)","se_mx_lost_mom_to_lost_both",0
"all","all","[6,7)","se_Lx_lost_mom",217.707977466596
"all","all","[6,7)","se_Lx_lost_dad",361.066752844576
"all","all","[6,7)","se_Lx_lost_both",0
"all","all","[6,7)","se_Lx_lost_none",422.772178743946
"all","all","[6,7)","se_dx_lost_mom_to_dead",0.0255039529207982
"all","all","[6,7)","se_dx_lost_dad_to_dead",0.0422980800840266
"all","all","[6,7)","se_dx_lost_both_to_dead",0
"all","all","[6,7)","se_dx_lost_none_to_dead",0.0495267186273101
"all","all","[7,8)","se_pr_lost_none",0.00417365473223798
"all","all","[7,8)","se_pr_lost_mom",0.00365600857268468
"all","all","[7,8)","se_pr_lost_dad",0.0021709576926547
"all","all","[7,8)","se_pr_lost_both",0
"all","all","[7,8)","se_mx_lost_none_to_lost_mom",0
"all","all","[7,8)","se_mx_lost_none_to_lost_dad",0
"all","all","[7,8)","se_mx_lost_none_to_lost_both",0
"all","all","[7,8)","se_mx_lost_dad_to_lost_both",0
"all","all","[7,8)","se_mx_lost_mom_to_lost_both",0
"all","all","[7,8)","se_Lx_lost_mom",363.215740113296
"all","all","[7,8)","se_Lx_lost_dad",215.679473780117
"all","all","[7,8)","se_Lx_lost_both",0
"all","all","[7,8)","se_Lx_lost_none",414.642652611177
"all","all","[7,8)","se_dx_lost_mom_to_dead",0.0394687361857214
"all","all","[7,8)","se_dx_lost_dad_to_dead",0.0234367493232737
"all","all","[7,8)","se_dx_lost_both_to_dead",0
"all","all","[7,8)","se_dx_lost_none_to_dead",0.0450570271600936
"all","all","[8,9)","se_pr_lost_none",0.00536485882339186
"all","all","[8,9)","se_pr_lost_mom",0.00286504423578725
"all","all","[8,9)","se_pr_lost_dad",0.00308030335181761
"all","all","[8,9)","se_pr_lost_both",0.00328587922032641
"all","all","[8,9)","se_mx_lost_none_to_lost_mom",0
"all","all","[8,9)","se_mx_lost_none_to_lost_dad",0.00220129413439592
"all","all","[8,9)","se_mx_lost_none_to_lost_both",0
"all","all","[8,9)","se_mx_lost_dad_to_lost_both",0.172275709351233
"all","all","[8,9)","se_mx_lost_mom_to_lost_both",0
"all","all","[8,9)","se_Lx_lost_mom",284.605615511457
"all","all","[8,9)","se_Lx_lost_dad",305.988864135344
"all","all","[8,9)","se_Lx_lost_both",326.41020557937
"all","all","[8,9)","se_Lx_lost_none",532.930322153983
"all","all","[8,9)","se_dx_lost_mom_to_dead",0.0284667048274697
"all","all","[8,9)","se_dx_lost_dad_to_dead",0.0306054912520969
"all","all","[8,9)","se_dx_lost_both_to_dead",0.0326480661957548
"all","all","[8,9)","se_dx_lost_none_to_dead",0.0533045356364552
"all","all","[9,10)","se_pr_lost_none",0.00387566168458037
"all","all","[9,10)","se_pr_lost_mom",0.00168145218158165
"all","all","[9,10)","se_pr_lost_dad",0.00342966987911918
"all","all","[9,10)","se_pr_lost_both",0
"all","all","[9,10)","se_mx_lost_none_to_lost_mom",0
"all","all","[9,10)","se_mx_lost_none_to_lost_dad",0
"all","all","[9,10)","se_mx_lost_none_to_lost_both",0
"all","all","[9,10)","se_mx_lost_dad_to_lost_both",0
"all","all","[9,10)","se_mx_lost_mom_to_lost_both",0
"all","all","[9,10)","se_Lx_lost_mom",167.014756838336
"all","all","[9,10)","se_Lx_lost_dad",340.661177981313
"all","all","[9,10)","se_Lx_lost_both",0
"all","all","[9,10)","se_Lx_lost_none",384.960512661722
"all","all","[9,10)","se_dx_lost_mom_to_dead",0.0154460151559719
"all","all","[9,10)","se_dx_lost_dad_to_dead",0.0315053461009071
"all","all","[9,10)","se_dx_lost_both_to_dead",0
"all","all","[9,10)","se_dx_lost_none_to_dead",0.035602278658402
"all","all","[10,11)","se_pr_lost_none",0.00486852091317526
"all","all","[10,11)","se_pr_lost_mom",0.00189436783983983
"all","all","[10,11)","se_pr_lost_dad",0.00517184593702598
"all","all","[10,11)","se_pr_lost_both",0
"all","all","[10,11)","se_mx_lost_none_to_lost_mom",0
"all","all","[10,11)","se_mx_lost_none_to_lost_dad",0.00120542713198614
"all","all","[10,11)","se_mx_lost_none_to_lost_both",0
"all","all","[10,11)","se_mx_lost_dad_to_lost_both",0
"all","all","[10,11)","se_mx_lost_mom_to_lost_both",0
"all","all","[10,11)","se_Lx_lost_mom",188.145920298619
"all","all","[10,11)","se_Lx_lost_dad",513.660384746979
"all","all","[10,11)","se_Lx_lost_both",0
"all","all","[10,11)","se_Lx_lost_none",483.534574668394
"all","all","[10,11)","se_dx_lost_mom_to_dead",0.0171058448038703
"all","all","[10,11)","se_dx_lost_dad_to_dead",0.0467009585402241
"all","all","[10,11)","se_dx_lost_both_to_dead",0
"all","all","[10,11)","se_dx_lost_none_to_dead",0.0439619810966673
"all","all","[11,12)","se_pr_lost_none",0.00719831001718279
"all","all","[11,12)","se_pr_lost_mom",0.00180202092418311
"all","all","[11,12)","se_pr_lost_dad",0.0067173901513524
"all","all","[11,12)","se_pr_lost_both",0.00149081192266389
"all","all","[11,12)","se_mx_lost_none_to_lost_mom",0
"all","all","[11,12)","se_mx_lost_none_to_lost_dad",0
"all","all","[11,12)","se_mx_lost_none_to_lost_both",0
"all","all","[11,12)","se_mx_lost_dad_to_lost_both",0.051256541658548
"all","all","[11,12)","se_mx_lost_mom_to_lost_both",0
"all","all","[11,12)","se_Lx_lost_mom",178.956783333392
"all","all","[11,12)","se_Lx_lost_dad",667.096878703771
"all","all","[11,12)","se_Lx_lost_both",148.050948052083
"all","all","[11,12)","se_Lx_lost_none",714.85651960203
"all","all","[11,12)","se_dx_lost_mom_to_dead",0.0184573356306234
"all","all","[11,12)","se_dx_lost_dad_to_dead",0.0688033767652063
"all","all","[11,12)","se_dx_lost_both_to_dead",0.0152697538910188
"all","all","[11,12)","se_dx_lost_none_to_dead",0.0737292348703722
"all","all","[12,13)","se_pr_lost_none",0.00761115288890928
