"sex","race","w_i_lost_mom_first","w_i_lost_mom_last","w_i_lost_dad_first","w_i_lost_dad_last","w_i_lost_both","w_s_lost_none","w_s_lost_mom","w_s_lost_dad","w_s_lost_both","w_s_total","n_i_lost_mom_first","n_i_lost_mom_last","n_i_lost_dad_first","n_i_lost_dad_last","n_i_lost_both","n_s_lost_none","n_s_lost_mom","n_s_lost_dad","n_s_lost_both","age"
"male","hispanic",9075.8974585,0,70105.4649181,0,5295.4567536,27804926.7053808,0,0,0,27804926.7053808,2,0,9,0,1,3336,0,0,0,0
"female","non-hispanic black",4517.9511154,0,68666.1165355,0,0,18543393.2628877,0,0,0,18543393.2628877,1,0,8,0,0,1849,0,0,0,0
"male","non-hispanic black",21900.3807796,0,53394.3392126,0,0,16325200.6142708,0,0,0,16325200.6142708,3,0,8,0,0,1554,0,0,0,0
"male","non-hispanic white",41593.0782923,0,125304.6789582,0,0,87883762.8770517,0,0,0,87883762.8770517,4,0,16,0,0,11073,0,0,0,0
"female","non-hispanic white",16165.3383671,0,149125.0689489,0,21328.9977443,90262090.4251741,0,0,0,90262090.4251741,2,0,21,0,3,11414,0,0,0,0
"male","non-hispanic other",0,0,5483.9001561,0,0,4325674.33273852,0,0,0,4325674.33273852,0,0,1,0,0,561,0,0,0,0
"female","non-hispanic other",0,0,7097.0347145,0,0,4458450.9631802,0,0,0,4458450.9631802,0,0,1,0,0,579,0,0,0,0
"female","non-hispanic asian",0,0,16473.0291216,0,0,9342573.8262085,0,0,0,9342573.8262085,0,0,4,0,0,1198,0,0,0,0
"male","non-hispanic asian",0,0,0,0,0,9058662.8544356,0,0,0,9058662.8544356,0,0,0,0,0,1121,0,0,0,0
"female","hispanic",0,0,42551.7749727,0,0,27903932.0042145,0,0,0,27903932.0042145,0,0,6,0,0,3504,0,0,0,0
"male","hispanic",3131.633725,0,85499.4343629,0,0,27429406.5764807,9075.8974585,61225.9596364,5295.4567536,27505003.8903292,1,0,11,0,0,3300,2,8,1,1
"female","non-hispanic black",29282.8710247,0,117858.6943476,0,0,18340792.1569055,4517.9511154,68666.1165355,0,18413976.2245564,4,0,14,0,0,1830,1,8,0,1
"male","non-hispanic black",9346.8055115,0,68653.5453189,0,0,16083199.3525231,21900.3807796,53394.3392126,0,16158494.0725153,2,0,8,0,0,1533,3,8,0,1
"male","non-hispanic white",70720.7501174,0,130571.112555,0,25151.882731,87130617.9779366,41593.0782923,125304.6789582,0,87297515.7351871,12,0,15,0,2,11007,4,16,0,1
"female","non-hispanic white",32746.5267018,0,201523.1332174,0,26587.982121,89398017.4179867,16165.3383671,112850.1702975,21328.9977443,89548361.9243955,4,0,26,0,2,11332,2,17,3,1
"male","non-hispanic other",0,0,17383.8469289,0,0,4249317.48823942,0,5483.9001561,0,4254801.38839552,0,0,4,0,0,552,0,1,0,1
"female","non-hispanic other",0,0,0,0,0,4394948.1461904,0,7097.0347145,0,4402045.1809049,0,0,0,0,0,573,0,1,0,1
"female","non-hispanic asian",33223.0487679,0,50607.95667,0,0,9256069.7521381,0,11909.487268,0,9267979.2394061,3,0,6,0,0,1187,0,3,0,1
"male","non-hispanic asian",6777.6992095,0,3256.9432639,0,0,8978473.7862749,0,0,0,8978473.7862749,1,0,1,0,0,1113,0,0,0,1
"female","hispanic",33021.1831418,0,55032.389085,0,0,27571607.6162743,0,42551.7749727,0,27614159.391247,5,0,7,0,0,3470,0,6,0,1
"male","hispanic",38075.2616917,0,87550.6516438,0,0,26820859.4935891,12207.5311835,146725.3939993,5295.4567536,26985087.8755255,4,0,9,0,0,3245,3,19,1,2
"female","non-hispanic black",46969.9115643,0,43676.0796749,0,6324.8219901,17966479.232169,33800.8221401,186524.8108831,0,18186804.8651922,8,0,7,0,1,1798,5,22,0,2
"male","non-hispanic black",6754.9260075,0,79126.6547782,0,0,15873873.6579683,31247.1862911,122047.8845315,0,16027168.7287909,2,0,8,0,0,1512,5,16,0,2
"male","non-hispanic white",46039.7081262,0,151616.7405018,13909.461227,0,85994004.9584047,112313.8284097,255875.7915132,25151.882731,86387346.4610587,7,0,21,1,0,10898,16,31,2,2
"female","non-hispanic white",94221.2192343,0,198433.0708977,0,0,88366959.2886283,48911.8650689,314373.3035149,47916.9798653,88778161.4370774,14,0,27,0,0,11232,6,43,5,2
