"x","mx_lost_none_to_lost_mom","se_mx_lost_none_to_lost_mom","mx_lost_none_to_lost_dad","se_mx_lost_none_to_lost_dad","mx_lost_none_to_lost_both","se_mx_lost_none_to_lost_both","mx_lost_dad_to_lost_both","se_mx_lost_dad_to_lost_both","mx_lost_mom_to_lost_both","se_mx_lost_mom_to_lost_both","sex","race"
"[0,5)",0.00074835973064516,6.68141824254039e-05,0.00188542301726802,0.000109331403756172,0.000116655922577049,3.32905123808666e-05,0.00089363028838684,0.00087372192215617,0.00724446446033008,0.00536601522151012,"all","all"
"[5,10)",0.000981024470346832,7.06363633888278e-05,0.00227422474112713,0.000125973358954204,1.26134816073516e-05,6.44362739934553e-06,0.00358350167583354,0.00103226963057184,0.00762958402661255,0.0024302468361486,"all","all"
"[10,15)",0.0012147820945674,0.000106027998713924,0.00315705535621719,0.00013922080610883,4.43072274787912e-05,1.68838500009312e-05,0.00285772360326706,0.00088065906544658,0.00642968300185243,0.00203578988337628,"all","all"
"[15,20)",0.00196743445197601,0.000129592477891143,0.00463052282673936,0.000175787349847821,7.01908999756033e-05,2.31758067973803e-05,0.00371633685634106,0.000844455753215473,0.0183906136592431,0.00278542631728444,"all","all"
"[20,25)",0.00252748294410933,0.000144170755650519,0.00614833070124914,0.000241732805325185,0.000140042497715651,4.83795173268795e-05,0.00670931051635139,0.000886690042704235,0.0166309178669254,0.0022610691556453,"all","all"
"[25,30)",0.0034450779330925,0.00020464334042156,0.00749576149859934,0.000244766742847632,0.000142567534672823,3.60392480233573e-05,0.00744314684875396,0.000739753816712488,0.0156012397489749,0.00161428151793568,"all","all"
"[30,35)",0.00513154615256079,0.000268205578817681,0.0108363726779043,0.000320607586729791,0.000233593802725525,5.2444056723087e-05,0.0113080590001241,0.000901859633403665,0.0264099075791241,0.00217018462283739,"all","all"
"[35,40)",0.00675474883392967,0.000323578179053064,0.0158790361484418,0.000456189357010039,0.000475942658989312,9.55714149827563e-05,0.0135689531078607,0.000824750653013339,0.0289500667230839,0.00193110779369595,"all","all"
"[40,45)",0.0106876927235058,0.000486931543713702,0.0228037233888603,0.000695149845156254,0.000712332029424676,0.000112127782878896,0.0222734295086588,0.00117607476321898,0.039562794907792,0.00235964256605018,"all","all"
"[45,50)",0.0132882912437833,0.000620052933596382,0.0311045261620388,0.000913132636357732,0.00146682834484325,0.000192462186641655,0.0300089867624814,0.00114934956220251,0.0552390004733818,0.00245484182609383,"all","all"
"[50,55)",0.0213191960252044,0.000934420401075476,0.0490184133637484,0.00145933033218413,0.00380188755850088,0.000419613923704962,0.048226765661752,0.00131507915699987,0.0807738081076756,0.00344769668199204,"all","all"
"[55,60)",0.0341209321730023,0.00164105489995693,0.0714409781570019,0.00223282295898978,0.00511697151767572,0.00071614176921865,0.0636408917941669,0.001680495720105,0.104986803299196,0.00362708810948774,"all","all"
"[60,Inf)",0.0553391636467246,0.00257138725970628,0.107430024551453,0.0038852376238724,0.0167787740834942,0.00152176444819755,0.124484759454897,0.00204745124874776,0.168352190450947,0.00452276346503191,"all","all"
"[0,5)",0.000778499040073928,9.56830410790363e-05,0.00197012742399794,0.000140935074137473,0.000119128988134453,3.50656068620588e-05,0,0,0.0134519706682069,0.00999498504921992,"female","all"
"[0,5)",0.000717030038065455,9.28362335523464e-05,0.00179737312251954,0.000159121264623046,0.000114085180741507,4.67080872620173e-05,0.00185003890628751,0.00177785415258283,0,0,"male","all"
"[5,10)",0.00109621914643557,0.000105994793707609,0.00252984098391644,0.000191492956123928,4.44836638601522e-06,4.38287598081544e-06,0.00439726396099475,0.00161659341591515,0.00799401292716996,0.00301556878056115,"female","all"
"[5,10)",0.000860841936351923,0.000100124879466563,0.00200754047383502,0.000157353114554364,2.11321412449251e-05,1.25662360728996e-05,0.0025889046541104,0.00129235457366541,0.00722211666368066,0.00370227830015525,"male","all"
"[10,15)",0.00124691207839427,0.0001576960115117,0.00354586134795174,0.000232559539439264,6.3439457456691e-05,3.025391625983e-05,0.00243209762922556,0.00113703614556336,0.00556706621712139,0.00228091315165673,"female","all"
"[10,15)",0.0011811220050946,0.000119135080968091,0.00274973350570446,0.000168869178986996,2.4263875563709e-05,1.43166419026186e-05,0.00339753187637701,0.00134125849929548,0.00744636773515568,0.00345466362865066,"male","all"
"[15,20)",0.00192418156075661,0.000173096294159515,0.00482133304502158,0.000252941612624469,7.59868331128012e-05,3.26462489216208e-05,0.00261777640667166,0.000769389985923355,0.0202286697076663,0.00416322067286465,"female","all"
"[15,20)",0.00201286957657967,0.000184355361236052,0.00443008568140793,0.000237116709712737,6.4102545258496e-05,3.01787751129489e-05,0.00512591594057766,0.00166137101197437,0.016283660094533,0.00389641275010343,"male","all"
