"x","mx_lost_none_to_lost_mom","se_mx_lost_none_to_lost_mom","mx_lost_none_to_lost_dad","se_mx_lost_none_to_lost_dad","mx_lost_none_to_lost_both","se_mx_lost_none_to_lost_both","mx_lost_dad_to_lost_both","se_mx_lost_dad_to_lost_both","mx_lost_mom_to_lost_both","se_mx_lost_mom_to_lost_both","sex","race"
"[0,1)",0,0,0,0,0,0,NA,NA,NA,NA,"all","all"
"[1,2)",0,0,0,0,0,0,0,0,0,0,"all","all"
"[2,3)",0,0,0.000854049315917273,0.000945430287729846,0,0,NA,NA,NA,NA,"all","all"
"[3,4)",0,0,0,0,0,0,NA,NA,NA,NA,"all","all"
"[4,5)",0,0,0.000775973691155578,0.00074199676376612,0,0,0,0,0,0,"all","all"
"[5,6)",0,0,0,0,0,0,0,0,0,0,"all","all"
"[6,7)",0,0,0,0,0,0,0,0,0,0,"all","all"
"[7,8)",0,0,0,0,0,0,0,0,0,0,"all","all"
"[8,9)",0,0,0.00226201461285796,0.00220129413439592,0,0,0.179221977357451,0.172275709351233,0,0,"all","all"
"[9,10)",0,0,0,0,0,0,0,0,0,0,"all","all"
"[10,11)",0,0,0.00125055597852037,0.00120542713198614,0,0,0,0,0,0,"all","all"
"[11,12)",0,0,0,0,0,0,0.0573854001610557,0.051256541658548,0,0,"all","all"
"[12,13)",0,0,0.00683231590669946,0.00495793749333561,0,0,0,0,0,0,"all","all"
"[13,14)",0,0,0.00198205265819146,0.0020216206261036,0,0,0,0,0,0,"all","all"
"[14,15)",0,0,0,0,0,0,0,0,0,0,"all","all"
"[15,16)",0,0,0.00228728393574854,0.002303806533476,0,0,0,0,0,0,"all","all"
"[16,17)",0,0,0.00217473873846556,0.00216960569517632,0,0,0,0,0,0,"all","all"
"[17,18)",0,0,0.00438586274203467,0.00309339431311351,0,0,0,0,0,0,"all","all"
"[18,19)",0,0,0.00268220228973789,0.00265322254316866,0,0,0,0,0,0,"all","all"
"[19,20)",0,0,0.00392093262029243,0.00298870536157812,0,0,0,0,0,0,"all","all"
