"x","n_i_lost_none_to_lost_mom","n_i_lost_dad_to_lost_both","n_i_lost_none_to_lost_dad","n_i_lost_mom_to_lost_both","n_i_lost_none_to_lost_both","n_s_lost_none","n_s_lost_mom","n_s_lost_dad","n_s_lost_both","sex","race"
"[0,5)",170,1,425,2,23,212644,318,838,61,"all","all"
"[5,10)",202,13,485,11,4,197788,1195,2985,183,"all","all"
"[10,15)",233,15,591,15,8,180908,2138,5386,301,"all","all"
"[15,20)",328,33,814,56,13,162488,3148,8338,593,"all","all"
"[20,25)",388,86,921,73,18,143774,4529,12082,1216,"all","all"
"[25,30)",433,123,1001,106,19,125199,5799,15762,2299,"all","all"
"[30,35)",546,236,1208,192,25,105663,7122,19590,3896,"all","all"
"[35,40)",598,331,1363,248,41,85412,8220,23098,6270,"all","all"
"[40,45)",707,595,1520,362,46,64271,9201,26120,9918,"all","all"
"[45,50)",620,828,1464,523,70,45505,9340,27575,14897,"all","all"
"[50,55)",628,1279,1396,675,111,28187,8371,26667,21920,"all","all"
"[55,60)",500,1443,1052,684,74,14803,6554,22546,28416,"all","all"
"[60,Inf)",425,3160,843,1089,130,7847,6510,25192,112410,"all","all"
"[0,5)",79,1,188,0,9,103542,146,382,23,"male","all"
"[0,5)",91,0,237,2,14,109102,172,456,38,"female","all"
"[5,10)",85,5,210,4,3,96093,556,1302,73,"male","all"
"[5,10)",117,8,275,7,1,101695,639,1683,110,"female","all"
"[10,15)",108,8,259,8,3,87556,971,2339,129,"male","all"
"[10,15)",125,7,332,7,5,93352,1167,3047,172,"female","all"
"[15,20)",156,18,367,24,6,78235,1428,3612,269,"male","all"
"[15,20)",172,15,447,32,7,84253,1720,4726,324,"female","all"
"[20,25)",168,47,400,33,6,69139,2036,5218,571,"male","all"
"[20,25)",220,39,521,40,12,74635,2493,6864,645,"female","all"
"[25,30)",186,49,458,50,5,60076,2599,6855,1077,"male","all"
"[25,30)",247,74,543,56,14,65123,3200,8907,1222,"female","all"
"[30,35)",251,94,529,79,8,50692,3202,8600,1736,"male","all"
"[30,35)",295,142,679,113,17,54971,3920,10990,2160,"female","all"
"[35,40)",273,132,626,106,20,40973,3783,10171,2688,"male","all"
"[35,40)",325,199,737,142,21,44439,4437,12927,3582,"female","all"
"[40,45)",309,262,721,167,17,30665,4197,11707,4262,"male","all"
"[40,45)",398,333,799,195,29,33606,5004,14413,5656,"female","all"
"[45,50)",294,384,663,235,39,21786,4208,12374,6569,"male","all"
"[45,50)",326,444,801,288,31,23719,5132,15201,8328,"female","all"
"[50,55)",306,557,644,317,54,13528,3816,12051,9740,"male","all"
"[50,55)",322,722,752,358,57,14659,4555,14616,12180,"female","all"
