"x","pr_lost_none","se_pr_lost_none","pr_lost_mom","se_pr_lost_mom","pr_lost_dad","se_pr_lost_dad","pr_lost_both","se_pr_lost_both","sex","race"
"[0,1)",1,0,0,0,0,0,0,0,"all","all"
"[1,2)",0.997966628138317,0.000234257157145727,0.000462661273185884,9.83098454219619e-05,0.00150190193700538,0.000210308421274577,6.88086514922041e-05,3.46997210089148e-05,"all","all"
"[2,3)",0.99482628570374,0.000395887123747987,0.00136086245041719,0.000191137396228598,0.00351474861522161,0.000314920879890176,0.000298103230621191,0.000115504540397857,"all","all"
"[3,4)",0.991336705572287,0.000476995997899083,0.0022019336636587,0.000236213448706929,0.00599559509656965,0.000422986226990104,0.000465765667483305,0.000140930102456019,"all","all"
"[4,5)",0.988386476329503,0.000558189238408519,0.00297025312349561,0.00027007143826294,0.0080421372654997,0.000499233627142806,0.000601133281502743,0.000155332662214587,"all","all"
"[5,6)",0.985886671011153,0.00061635600875507,0.00373393581901878,0.000299681210952884,0.00967625399585034,0.000542513721422047,0.000703139173977048,0.000169408458685462,"all","all"
"[6,7)",0.982249232929494,0.000705656247289727,0.0047740675868035,0.000350787460901505,0.0121181512682864,0.000605540372696968,0.00085854821541491,0.000185989273826048,"all","all"
"[7,8)",0.979238773021823,0.000733221652553547,0.00568015239861793,0.000369536792118794,0.0141265693295136,0.000645831804397957,0.000954505250044691,0.000192714287077286,"all","all"
"[8,9)",0.97621160632437,0.000840989220666382,0.00642131355646535,0.000409096014337536,0.0163045891083103,0.000734458876068569,0.0010624910108546,0.000195395789445828,"all","all"
"[9,10)",0.972591426050184,0.000941085348446076,0.0073965474308392,0.000426271893193493,0.0189172493534826,0.000803229306621953,0.00109477716549572,0.000198400155773475,"all","all"
"[10,11)",0.969244513038147,0.00100342020198346,0.00831409701030234,0.000454224350995186,0.0212505108920295,0.000870524632630528,0.00119087905952243,0.00020695724794813,"all","all"
"[11,12)",0.965125489045103,0.00107074319957723,0.00960277348024813,0.00050350564012108,0.0239594236988632,0.000940297337979001,0.00131231377578363,0.00022176676115404,"all","all"
"[12,13)",0.961641516016311,0.00112424890991114,0.0106064204654361,0.000540413192723738,0.0263267115836842,0.000985732438049149,0.00142535193456994,0.000234846627419619,"all","all"
"[13,14)",0.956285351540559,0.00117495196172954,0.0118632040035999,0.000571587691202056,0.030084607658765,0.00100811369695354,0.00176683679707568,0.000267887528328744,"all","all"
"[14,15)",0.951007894443592,0.00119744675770551,0.0132365016077414,0.000627217007904811,0.0338652517916968,0.00104274036709441,0.00189035215696653,0.000272200507070724,"all","all"
"[15,16)",0.946524798764627,0.00128004534064361,0.0144130134181946,0.000643107439051917,0.0367380380983271,0.00112024558940961,0.00232414971884883,0.000296203331892971,"all","all"
"[16,17)",0.940763997534179,0.00130094603368612,0.0157199164750787,0.000667203512054306,0.0407000877610101,0.00112513638989053,0.00281599822972916,0.000302195683966804,"all","all"
"[17,18)",0.934611556879459,0.00135140538191381,0.0173913540935275,0.000725288830179852,0.0448483462688779,0.00117515460255331,0.00314874275812961,0.000318650092105053,"all","all"
"[18,19)",0.928281117499607,0.00148266688910033,0.0191231310585792,0.000786842353921902,0.0488272599583751,0.00121345452653331,0.00376849148343706,0.000365521845522651,"all","all"
"[19,20)",0.920279151298246,0.00151707092671853,0.0206626014413226,0.000823074410494934,0.0543278534033381,0.00125840489313712,0.00473039385708914,0.000387822780757546,"all","all"
"[20,21)",0.91313406431648,0.00153444860070357,0.0226770513261466,0.000881258555743733,0.0588138872185745,0.00128876153664222,0.00537499713879595,0.000430761810876183,"all","all"
"[21,22)",0.903843334505806,0.0016856116611502,0.0250400794347894,0.000948304156479873,0.0649240747243264,0.00137244901958351,0.0061925113350772,0.000470428844425696,"all","all"
"[22,23)",0.895291868872887,0.00183036369816157,0.0270369825054897,0.000991933101701819,0.070787291543752,0.00149131307375801,0.00688385707786238,0.000501579465792518,"all","all"
"[23,24)",0.886918882444394,0.0018881835972137,0.0292064118443015,0.00103082689316979,0.0756920872213956,0.00152210396232653,0.00818261848990083,0.000556263061535693,"all","all"
"[24,25)",0.877499966143652,0.00194114852542309,0.0309296857628648,0.00105182041037151,0.0816529431916895,0.00158359284431729,0.00991740490178868,0.000585962794327122,"all","all"
"[25,26)",0.868739134080249,0.0021481161206608,0.0325356238429613,0.00115078912471345,0.0874597981841724,0.00173016479424915,0.0112654438926158,0.000662532540424541,"all","all"
"[26,27)",0.855531331725624,0.0022616403567939,0.03574565768979,0.00117765324329166,0.0952659196618162,0.00179637890729993,0.0134570909227671,0.000739733849939945,"all","all"
"[27,28)",0.847292488845454,0.00230052708196413,0.0380587337921736,0.00122300193277212,0.0998925701401864,0.00179733175011552,0.0147562072221891,0.000812415490635164,"all","all"
"[28,29)",0.837036025517694,0.00243172562621923,0.0395679510301162,0.00127982934500496,0.106688938623191,0.00186372732185723,0.0167070848290008,0.000836654605593325,"all","all"
"[29,30)",0.825007327681224,0.00260148855552631,0.041959780378778,0.00135544447268892,0.114676612266274,0.00196544735500394,0.0183562796737263,0.000872928160188072,"all","all"
"[30,31)",0.815041466020747,0.00270910033634134,0.0446384285813911,0.00142259509631137,0.1202670012592,0.00195473597925957,0.0200531041386579,0.000932686662366272,"all","all"
"[31,32)",0.793801293365229,0.00273407993310421,0.0489784654473529,0.00145783115783867,0.132140099404713,0.00204623211993308,0.0250801417826984,0.00105769116541629,"all","all"
"[32,33)",0.78316672783863,0.0027458393355924,0.0511744525882993,0.00148791988988324,0.138493302344199,0.00209857537486647,0.0271655172288657,0.00110754983801437,"all","all"
"[33,34)",0.768594533726577,0.00271677571766003,0.0533373912941957,0.00147057019271606,0.147416774718755,0.00210932902560266,0.030651300260466,0.00118490625161865,"all","all"
"[34,35)",0.754633105546495,0.00285942843348672,0.0566319599317753,0.00156374723976786,0.154999559292708,0.00218112678352857,0.0337353752290184,0.00128063707251689,"all","all"
"[35,36)",0.742123394115475,0.00289152945188,0.058928689460074,0.00161071471523295,0.161942878843571,0.00216154301767505,0.0370050375808779,0.00134784548395772,"all","all"
"[36,37)",0.718283073876266,0.00297981420205192,0.0627694401743096,0.00161954594307178,0.175052544591606,0.00230875394373811,0.0438949413578208,0.0014721851126313,"all","all"
"[37,38)",0.70040239401631,0.00308704119283023,0.0665858470883899,0.00167409147797526,0.184081796967747,0.00237727002942208,0.0489299619275602,0.00156455386448554,"all","all"
