"x","pr_lost_none","se_pr_lost_none","pr_lost_mom","se_pr_lost_mom","pr_lost_dad","se_pr_lost_dad","pr_lost_both","se_pr_lost_both","sex","race"
"[0,1)",1,0,0,0,0,0,0,0,"all","all"
"[1,2)",0.994305412176266,0.00363211739673475,0.00382965042414857,0.00311662505628853,0.00186493739958517,0.0018505687175659,0,0,"all","all"
"[2,3)",1,0,0,0,0,0,0,0,"all","all"
"[3,4)",1,0,0,0,0,0,0,0,"all","all"
"[4,5)",0.988412742584703,0.00521678953420932,0.00536743293456301,0.00451534474101365,0.00621982448073376,0.00282063473475803,0,0,"all","all"
"[5,6)",0.990926098567987,0.00442061241999391,0.0060102860974874,0.00390264838507117,0.0018649853663917,0.00187238861205813,0.00119862996813399,0.000889424307415663,"all","all"
"[6,7)",0.991753467562432,0.00425500333971187,0.00244665249113284,0.00219112850319162,0.00579987994643564,0.00363396722030539,0,0,"all","all"
"[7,8)",0.986148800652056,0.00417365473223798,0.00833721941352822,0.00365600857268468,0.00551397993441617,0.0021709576926547,0,0,"all","all"
"[8,9)",0.983298391766037,0.00536485882339186,0.0056306483220696,0.00286504423578725,0.00671310045833085,0.00308030335181761,0.00435785945356283,0.00328587922032641,"all","all"
"[9,10)",0.98930802942692,0.00387566168458037,0.00245319638804428,0.00168145218158165,0.00823877418503523,0.00342966987911918,0,0,"all","all"
"[10,11)",0.980772719843739,0.00486852091317526,0.00206881598530669,0.00189436783983983,0.017158464170954,0.00517184593702598,0,0,"all","all"
"[11,12)",0.97839331989147,0.00719831001718279,0.00183389237822943,0.00180202092418311,0.0176116176372319,0.0067173901513524,0.00216117009306798,0.00149081192266389,"all","all"
"[12,13)",0.969857786440063,0.00761115288890928,0.00953802639342673,0.00383279128862164,0.0206041871665097,0.00627921007877231,0,0,"all","all"
"[13,14)",0.973487117376373,0.00731094054243849,0.00688696626088522,0.00344962900125195,0.0196259163627415,0.00646729774636067,0,0,"all","all"
"[14,15)",0.970135665506269,0.00868557383772914,0.0134309615518256,0.005004885387984,0.0164333729419057,0.00703622981324522,0,0,"all","all"
"[15,16)",0.974653941435125,0.0073103261512056,0.00429585980385494,0.00215801158307977,0.0192392907408258,0.00675193016946362,0.00181090802019398,0.00155073349121356,"all","all"
"[16,17)",0.96263147362849,0.00783884229033526,0.0149411778756367,0.00474259546484609,0.0194908830278854,0.00598223092899401,0.00293646546798766,0.00160688267172881,"all","all"
"[17,18)",0.948539086247601,0.00973119778720529,0.0113995551960781,0.00505869970540743,0.0387743042327788,0.00846821536860614,0.00128705432354145,0.00126091895366119,"all","all"
"[18,19)",0.957395745291038,0.00987960322755059,0.0174186866049232,0.00511261208089811,0.0244591085429041,0.00834191606985564,0.000726459561135171,0.000746223536849518,"all","all"
"[19,20)",0.946860760511753,0.0121730825660581,0.0118152831897722,0.00590162310576592,0.0413239562984742,0.0110275587971323,0,0,"all","all"
"[20,21)",0.944699698701368,0.0117050979669145,0.0124366560252346,0.00463827655684564,0.0428636452733976,0.0109377985605319,0,0,"all","all"
"[21,22)",0.952766848458446,0.0109953676128757,0.0130517477718912,0.00507919856316313,0.0327950294241292,0.0100203788911319,0.0013863743455337,0.00135681995464663,"all","all"
"[22,23)",0.935527583511528,0.0115597795880179,0.0100829203474061,0.00415985011529002,0.0543894961410654,0.0111722398866084,0,0,"all","all"
"[23,24)",0.949065461105514,0.0120731148193199,0.00938008154796327,0.00366579460070293,0.0359078123675404,0.010606841001663,0.00564664497898264,0.00443974113430831,"all","all"
"[24,25)",0.929693969976746,0.0122390435747546,0.0257780726518563,0.00736597646724359,0.0394027466799731,0.00918046252416601,0.00512521069142457,0.00352442815201992,"all","all"
"[25,26)",0.90898397367486,0.0135868456094012,0.0279972977313207,0.0084065726453566,0.0630187285938193,0.0114749879829847,0,0,"all","all"
