"race","sex","age","w","s_lost_none","s_lost_mom","s_lost_dad","s_lost_both","s_lost_none0","s_lost_mom0","s_lost_dad0","i_lost_none_to_lost_mom","i_lost_none_to_lost_dad","i_lost_dad_to_lost_both","i_lost_mom_to_lost_both","i_lost_none_to_lost_both"
"hispanic","male",64,7426.1165405,0,0,0,1,1,1,1,0,0,1,1,1
"hispanic","male",21,9616.7912756,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic black","female",32,9260.6306586,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic black","male",37,9260.6306586,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic black","male",9,7233.1783612,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic black","female",2,7620.9230101,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",75,4837.3050892,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic black","male",21,9638.0130754,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",21,5190.9908023,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",21,6186.2354879,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",21,6186.2354879,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",19,5860.2644912,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",74,3675.7311809,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",87,4322.3696152,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",78,4322.3696152,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",55,9627.9558908,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",79,4231.7401884,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",81,4231.7401884,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",80,2202.5045493,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",64,6028.1244349,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",57,3041.7212462,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",78,4055.7056924,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",57,4055.7056924,0,0,0,1,1,1,1,0,0,1,1,1
"hispanic","male",34,3991.4017216,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",73,4355.2435555,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic other","male",61,5360.8253226,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic other","female",17,6508.2575169,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",87,5799.5500682,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",87,5799.5500682,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",30,20093.408252,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",78,3140.9820202,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",79,5381.1102679,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",79,5381.1102679,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",31,6387.5329406,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",31,6387.5329406,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",67,7850.4674041,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",65,7850.4674041,0,1,0,0,1,1,0,1,0,0,0,0
"non-hispanic white","female",48,9858.8226993,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic other","female",58,4171.3848867,0,1,0,0,1,1,0,1,0,0,0,0
"non-hispanic other","male",58,4171.3848867,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",62,3757.2299453,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",78,3374.0702822,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic other","female",36,3395.6705914,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",35,4225.4609052,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","female",1,6827.9182191,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",29,7351.3366469,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",2,9696.1258329,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","male",36,7670.8425363,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic other","female",32,7670.8425363,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",34,7487.2969981,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",33,7487.2969981,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",8,11006.970024,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",6,10703.322138,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",5,11980.294646,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",3,12135.100374,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",76,6166.6826115,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",70,20053.505932,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic other","female",74,5014.2277612,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",20,13117.237079,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",85,7955.7938346,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",84,7955.7938346,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic other","male",32,11026.674336,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","male",57,7023.8843949,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","female",53,8289.1801544,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",68,8039.187896,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",74,8039.187896,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",50,10711.990222,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",23,12616.525659,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",20,8945.1062776,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",26,8446.45502,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",46,7371.398014,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","female",84,4092.9675816,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",43,8643.575961,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic asian","female",40,8643.575961,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","female",1,15622.756912,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","female",37,8941.9483656,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",38,8941.9483656,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","male",17,9776.828865,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","male",13,13601.073045,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","female",10,13464.549884,1,0,0,0,1,0,0,0,0,0,0,0
