ind,race,x,state,mean,se_mean,sd,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,n_eff,Rhat
"1,1,1",hispanic,0,lost_none,100000,NA,0,100000,100000,100000,100000,100000,100000,100000,100000,100000,NA,NA
"1,1,2",hispanic,0,lost_mom,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
"1,1,3",hispanic,0,lost_dad,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
"1,1,4",hispanic,0,lost_both,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
"1,2,1",hispanic,5,lost_none,98266.3400370097,1.7669341385465194,121.66814662066538,98008.26857983727,98055.5303632732,98107.45700667806,98189.98468927472,98271.88437993216,98349.55881205181,98416.9425141412,98457.83972405313,98487.937788436,4741.470594033028,0.9997871374429962
"1,2,2",hispanic,5,lost_mom,349.4675343049741,1.1602247532033998,48.78539161588128,261.1483552448651,273.8498509435097,289.3783366623106,316.0759709417155,346.08712739391416,379.9822257102983,413.4038393124807,433.24394993495156,451.5541974946501,1768.0532359877916,1.0010749344917327
"1,2,3",hispanic,5,lost_dad,826.4325575329381,1.6678244241043023,111.1222241770749,627.0015579582622,655.2045534299772,689.7030067476323,748.9028561791022,820.4395820966602,895.8756930125759,970.2329067158272,1017.3484782575601,1065.2299112170908,4439.164021890144,0.9996165684657126
"1,2,4",hispanic,5,lost_both,5.052442865770638,0.029123757590196465,1.4428800078354367,2.487147145217718,2.830276492687571,3.2804368369419454,4.053629164619771,4.96023619948779,5.950299551862212,6.9288328102997365,7.582116644850682,8.23709980881957,2454.5145836289485,1.004427343633029
"1,3,1",hispanic,10,lost_none,96586.96436553933,3.5841678665904646,232.32233188926423,96108.07549214101,96186.55689113408,96281.33696001378,96436.27259722579,96596.39457560386,96748.01621281666,96877.13273092032,96955.24289355337,97021.18206493616,4201.508365294567,0.999544630309
"1,3,2",hispanic,10,lost_mom,814.3090399458952,2.4697762277320754,95.04653915918287,642.2847135812481,665.7287538986642,696.3446326170096,747.8266134840901,809.3447108694818,873.5806228171704,938.9083309198681,977.7048603991367,1016.1996765118605,1481.0079971903617,1.0013134551520333
