ind,race,x,transition,mean,se_mean,sd,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,n_eff,Rhat,svy_mean,svy_se
"1,1,1",hispanic,0,lost_none_to_lost_mom,7.143578619004811e-4,2.3463896238742064e-6,9.870086490445692e-5,5.357681310952742e-4,5.615903032906551e-4,5.927837462450663e-4,6.466389400897706e-4,7.071712330039517e-4,7.763677420426837e-4,8.434272001878245e-4,8.84192801041964e-4,9.206468626615066e-4,1769.4637006620278,1.001063556742665,7.447466472657e-4,1.3108155211611e-4
"1,1,2",hispanic,0,lost_none_to_lost_dad,0.0016813052952384798,3.3717962148718846e-6,2.2473094364158005e-4,0.0012791736383460832,0.001334693214457317,0.0014043618794816676,0.001524722243472878,0.0016696663378893647,0.0018216529190638313,0.00197140190418084,0.002066698168602703,0.002165438401210768,4442.251198454858,0.9996187826366525,0.00229706107989549,2.908080180052e-4
"1,1,3",hispanic,0,lost_none_to_lost_both,2.4812398092467776e-5,3.2077185101607793e-7,1.1308034880923954e-5,8.809944851011162e-6,1.0229874476384974e-5,1.2376956629459209e-5,1.6691898431241295e-5,2.2833380877164907e-5,3.08953069402291e-5,3.9934799587619376e-5,4.560291624826348e-5,5.198037844932805e-5,1242.7442958198096,1.0014387204517385,1.7926687012824e-4,1.0101173749072e-4
"1,1,4",hispanic,0,lost_mom_to_lost_both,0.00422540935651674,3.0022004353524277e-5,0.0011119893920120082,0.002425036220005453,0.0026300548138469626,0.002888870593273006,0.0034161415527358715,0.004114471753715354,0.004878648012322221,0.005696730090346738,0.006231095339210129,0.006710909487308084,1371.8983106222845,1.0048427917578089,0.0238672681344677,0.0230720243948714
"1,1,5",hispanic,0,lost_dad_to_lost_both,9.819880822798316e-4,6.405026497164233e-6,2.3836558860488555e-4,5.774304379443586e-4,6.328457379763986e-4,6.962378622168047e-4,8.132657016533924e-4,9.599751478844675e-4,0.0011273078394372265,0.0012880758919075206,0.00140128826966909,0.0015255812235521588,1384.9855962733284,1.0010365678616355,NA,NA
"1,2,1",hispanic,5,lost_none_to_lost_mom,9.911768486573435e-4,2.831922332900219e-6,1.2948872870704927e-4,7.577083306961885e-4,7.93880533123215e-4,8.352851093018026e-4,9.00904703806484e-4,9.804918063906225e-4,0.00107385645802099,0.0011567929237092987,0.0012171966753207093,0.0012707259784558742,2090.7459170936995,1.0006099527441272,0.00101682583191859,1.7386541389081e-4
"1,2,2",hispanic,5,lost_none_to_lost_dad,0.0022932736385307515,4.299648569108558e-6,2.8974144525501926e-4,0.0017709718786862191,0.0018523250452423799,0.0019377389581474165,0.0020921572143020755,0.002271231858206206,0.0024733998463338813,0.0026692051318388766,0.002797628063510197,0.002924645132606595,4541.039964761982,0.9998406179982574,0.00276066745703998,3.5422551491857e-4
"1,2,3",hispanic,5,lost_none_to_lost_both,3.6757166142090056e-5,3.9563766442808914e-7,1.4348170633920651e-5,1.4992940671339094e-5,1.7394481904088574e-5,2.0266875685307695e-5,2.6363436564470753e-5,3.459665352972622e-5,4.48657885094719e-5,5.5637368876923753e-5,6.297088751818265e-5,6.991837010100569e-5,1315.2181903276912,1.0011608159167813,NA,NA
"1,2,4",hispanic,5,lost_mom_to_lost_both,0.005596574498759278,3.575651070218955e-5,0.0013252638193759674,0.0033712682659948036,0.0036370028763524722,0.003998669216070877,0.004642052894174495,0.005475248264030612,0.006399988962291518,0.0073319810581578965,0.007944539551242559,0.008451432768378198,1373.7079765379976,1.0053094114962644,0.00773228800412063,0.00584330338917232
"1,2,5",hispanic,5,lost_dad_to_lost_both,0.0014229860526402786,8.097426418607576e-6,3.2041452228930565e-4,8.782748784177933e-4,9.505018037730181e-4,0.0010369017526207377,0.0012041531233920372,0.0013932956738894288,0.0016147537036973472,0.0018460162767493838,0.0019893237785736538,0.0021411286789244297,1565.7786342799288,1.0013239322431542,0.00146499291990396,0.00144261447289761
