"race","sex","x","lx","dx","Lx"
"all","all","[0,1)",1e+05,539.411193847656,99530.171875
"all","all","[1,2)",99460.5859375,31.6455631256104,99444.765625
"all","all","[2,3)",99428.9375,20.938325881958,99418.46875
"all","all","[3,4)",99408,17.3219966888428,99399.34375
"all","all","[4,5)",99390.6796875,13.3327264785767,99384.015625
"all","all","[5,6)",99377.34375,12.6892776489258,99371
"all","all","[6,7)",99364.65625,11.6396427154541,99358.8359375
"all","all","[7,8)",99353.015625,10.7955808639526,99347.6171875
"all","all","[8,9)",99342.21875,9.93586921691895,99337.25
"all","all","[9,10)",99332.28125,9.1861162185669,99327.6875
"all","all","[10,11)",99323.09375,9.0298433303833,99318.578125
"all","all","[11,12)",99314.0625,10.2425756454468,99308.9375
"all","all","[12,13)",99303.8203125,13.7150468826294,99296.9609375
"all","all","[13,14)",99290.1015625,19.9806632995605,99280.109375
"all","all","[14,15)",99270.1171875,28.4849014282227,99255.875
"all","all","[15,16)",99241.6328125,37.9572486877441,99222.65625
"all","all","[16,17)",99203.671875,47.6145553588867,99179.859375
"all","all","[17,18)",99156.0546875,57.7626266479492,99127.171875
"all","all","[18,19)",99098.2890625,68.1194229125977,99064.234375
"all","all","[19,20)",99030.171875,78.4964752197266,98990.921875
"all","all","[20,21)",98951.671875,89.3234100341797,98907.015625
"all","all","[21,22)",98862.3515625,100.033096313477,98812.3359375
"all","all","[22,23)",98762.3203125,109.269912719727,98707.6875
"all","all","[23,24)",98653.046875,116.368148803711,98594.859375
"all","all","[24,25)",98536.6796875,121.835105895996,98475.765625
"all","all","[25,26)",98414.84375,126.569839477539,98351.5625
"all","all","[26,27)",98288.2734375,131.523223876953,98222.515625
"all","all","[27,28)",98156.75,137.019241333008,98088.2421875
"all","all","[28,29)",98019.734375,143.585205078125,97947.9375
"all","all","[29,30)",97876.1484375,151.056060791016,97800.625
"all","all","[30,31)",97725.09375,158.916244506836,97645.640625
"all","all","[31,32)",97566.1796875,166.621185302734,97482.8671875
"all","all","[32,33)",97399.5546875,174.174255371094,97312.46875
"all","all","[33,34)",97225.3828125,181.352447509766,97134.703125
"all","all","[34,35)",97044.03125,188.341506958008,96949.859375
"all","all","[35,36)",96855.6875,195.964401245117,96757.703125
"all","all","[36,37)",96659.7265625,204.23991394043,96557.609375
"all","all","[37,38)",96455.484375,212.440093994141,96349.265625
"all","all","[38,39)",96243.046875,220.489685058594,96132.796875
"all","all","[39,40)",96022.5546875,228.89778137207,95908.109375
"all","all","[40,41)",95793.65625,238.589660644531,95674.359375
"all","all","[41,42)",95555.0703125,250.039703369141,95430.046875
"all","all","[42,43)",95305.03125,262.997192382812,95173.53125
"all","all","[43,44)",95042.03125,277.474212646484,94903.296875
"all","all","[44,45)",94764.5546875,293.628295898438,94617.7421875
"all","all","[45,46)",94470.9296875,312.106109619141,94314.875
"all","all","[46,47)",94158.8203125,333.038391113281,93992.296875
"all","all","[47,48)",93825.78125,355.9755859375,93647.796875
"all","all","[48,49)",93469.8046875,380.942993164062,93279.328125
"all","all","[49,50)",93088.859375,408.384918212891,92884.671875
"all","all","[50,51)",92680.4765625,437.483520507812,92461.734375
"all","all","[51,52)",92242.9921875,469.842163085938,92008.0703125
"all","all","[52,53)",91773.1484375,507.743865966797,91519.28125
"all","all","[53,54)",91265.40625,551.488586425781,90989.65625
"all","all","[54,55)",90713.9140625,598.970703125,90414.4296875
"all","all","[55,56)",90114.9453125,646.019897460938,89791.9375
"all","all","[56,57)",89468.921875,692.839172363281,89122.5
"all","all","[57,58)",88776.0859375,743.242919921875,88404.46875
"all","all","[58,59)",88032.84375,798.811706542969,87633.4375
"all","all","[59,60)",87234.03125,858.514770507812,86804.7734375
"all","all","[60,Inf)",86375.515625,86375.5059814453,1918323.68896484
"all","female","[0,1)",1e+05,491.829223632812,99571.6171875
"all","female","[1,2)",99508.171875,30.8817100524902,99492.734375
"all","female","[2,3)",99477.2890625,19.8159275054932,99467.3828125
"all","female","[3,4)",99457.4765625,16.0471439361572,99449.453125
"all","female","[4,5)",99441.4296875,12.2363700866699,99435.3125
"all","female","[5,6)",99429.1953125,11.4292068481445,99423.484375
"all","female","[6,7)",99417.765625,10.2057466506958,99412.6640625
"all","female","[7,8)",99407.5625,9.38550567626953,99402.875
"all","female","[8,9)",99398.1796875,8.86471843719482,99393.75
"all","female","[9,10)",99389.3125,8.65493202209473,99384.984375
"all","female","[10,11)",99380.65625,8.88577175140381,99376.21875
"all","female","[11,12)",99371.7734375,9.78758716583252,99366.875
"all","female","[12,13)",99361.984375,11.6340789794922,99356.171875
"all","female","[13,14)",99350.3515625,14.579098701477,99343.0625
"all","female","[14,15)",99335.7734375,18.41530418396,99326.5625
"all","female","[15,16)",99317.359375,22.8096561431885,99305.953125
"all","female","[16,17)",99294.546875,27.422492980957,99280.8359375
"all","female","[17,18)",99267.125,32.1505889892578,99251.046875
"all","female","[18,19)",99234.9765625,36.8211708068848,99216.5625
"all","female","[19,20)",99198.15625,41.4698028564453,99177.421875
"all","female","[20,21)",99156.6875,46.3595695495605,99133.5078125
"all","female","[21,22)",99110.328125,51.4797897338867,99084.59375
"all","female","[22,23)",99058.8515625,56.4567604064941,99030.625
"all","female","[23,24)",99002.3984375,61.1102561950684,98971.84375
"all","female","[24,25)",98941.2890625,65.496940612793,98908.5390625
"all","female","[25,26)",98875.7890625,69.7302780151367,98840.921875
"all","female","[26,27)",98806.0625,74.0889129638672,98769.015625
"all","female","[27,28)",98731.9765625,78.8122177124023,98692.5703125
"all","female","[28,29)",98653.1640625,84.1464996337891,98611.09375
"all","female","[29,30)",98569.015625,90.0492706298828,98523.9921875
"all","female","[30,31)",98478.96875,96.3281173706055,98430.8046875
"all","female","[31,32)",98382.640625,102.710403442383,98331.28125
"all","female","[32,33)",98279.9296875,109.143241882324,98225.359375
"all","female","[33,34)",98170.7890625,115.490791320801,98113.046875
"all","female","[34,35)",98055.296875,121.853294372559,97994.375
"all","female","[35,36)",97933.4453125,128.795211791992,97869.046875
"all","female","[36,37)",97804.6484375,136.258987426758,97736.515625
"all","female","[37,38)",97668.390625,143.677841186523,97596.546875
"all","female","[38,39)",97524.7109375,150.982315063477,97449.21875
"all","female","[39,40)",97373.7265625,158.587738037109,97294.4375
"all","female","[40,41)",97215.140625,167.207946777344,97131.53125
"all","female","[41,42)",97047.9296875,177.234817504883,96959.3125
"all","female","[42,43)",96870.6953125,188.494506835938,96776.453125
"all","female","[43,44)",96682.203125,200.980194091797,96581.71875
"all","female","[44,45)",96481.2265625,214.747909545898,96373.8515625
"all","female","[45,46)",96266.4765625,230.322647094727,96151.3125
"all","female","[46,47)",96036.15625,247.681030273438,95912.3125
"all","female","[47,48)",95788.4765625,266.303680419922,95655.328125
"all","female","[48,49)",95522.171875,286.166198730469,95379.09375
"all","female","[49,50)",95236.0078125,307.740539550781,95082.140625
"all","female","[50,51)",94928.265625,330.760498046875,94762.890625
"all","female","[51,52)",94597.5078125,356.429321289062,94419.296875
